name_1,name_2,region,country,year,type,producer,volume,price_sek,price_pr_litre_sek,apk,alcohol,product_num,score
Château Camplazens,Premium La Clape,Languedoc-Roussillon,France,2016,Red wine,Château Camplazens,750,199,265.33,0.05276448196585384,14,95920,87
Chablis Grand Cru Bougros,Domaine Billaud-Simon,Bourgogne,France,2016,White wine,Domaine Billaud-Simon,750,649,865.33,0.015023170351195497,13,90146,NaN
Côte-Rôtie La Mouline,E. Guigal,Rhonedalen,France,2014,Red wine,E Guigal,750,2895,3860,0.003367875647668394,13,90165,NaN
Côte-Rôtie La Turque,E. Guigal,Rhonedalen,France,2014,Red wine,E Guigal,750,2895,3860,0.003367875647668394,13,90174,NaN
Hermitage Blanc,E. Guigal,Rhonedalen,France,2015,White wine,E Guigal,750,429,572,0.0236013986013986,13.5,90191,NaN
Saveroni,Corvina,Venetien,Italy,2018,Red wine,Terra dei Templari srl,750,89,118.67,0.10533411982809472,12.5,3658,NaN
Verus Vineyards,Sauvignon Blanc,Podravina,Slovenia,2018,White wine,Verus Vinogradi d.o.o,750,119,158.67,0.07877985756601753,12.5,2720,85
Faustino Rivero Ulecia,Joven,Valencia,Spain,2018,Red wine,Marques del Atrio,750,59,78.67,0.17160289818228042,13.5,4504,86.5
Dehesa La Granja,NA,Kastilien-León,Spain,2012,Red wine,Fernández Rivera,750,119,158.67,0.09138463477658033,14.5,4505,NaN
Ermitage Ex Voto Rouge,E. Guigal,Rhonedalen,France,2013,Red wine,E Guigal,750,2895,3860,0.003626943005181347,14,93996,NaN
Ermitage Ex Voto Blanc,E. Guigal,Rhonedalen,France,2013,White wine,E Guigal,750,1750,2333.33,0.005785722551032216,13.5,90203,NaN
Barbaresco Canova,Tenuta San Mauro,Piemonte,Italy,2013,Red wine,Tenuta San Mauro,750,379,505.33,0.02869412067361922,14.5,75910,NaN
Barolo,Giacosa Fratelli,Piemonte,Italy,2015,Red wine,Giacosa Fratelli,750,199,265.33,0.05276448196585384,14,76560,90.07142857142857
Bianco Porticello,Terre Siciliane,Sicilien,Italy,2016,White wine,Tenuta di Castellaro S.r.l.,750,247,329.33,0.036437615765341755,12,75761,NaN
A Touriga,Vai Nua,Alentejo,Portugal,2017,Red wine,Fitapreta Vinhos,750,162,216,0.06481481481481481,14,74004,NaN
Vinoterra,Rkatsiteli Qarvisferi,Kakheti Region,Georgia,2011,White wine,Schuchmann Wines Georgia,500,250,500,0.023,11.5,77049,88.66666666666667
Luca,Beso de Dante,Cuyo,Argentina,2015,Red wine,Puerto Ancona S.A,750,199,265.33,0.05276448196585384,14,2513,86.80341880341881
Heirloom Vineyards King’s Garden,Shiraz Grenache Mourvèdre,South Australia,Australia,2016,Red wine,Heirloom Vineyards Wine Company Pty Ltd,750,119,158.67,0.09138463477658033,14.5,6526,NaN
Nederburg,Organic Chenin Blanc,Western Cape,South Africa,2018,White wine,Nederburg Wines,750,89,118.67,0.1137608494143423,13.5,5401,86.6
Jurançon,Chateau de Rousse,Frankrike sydväst,France,2017,White wine,Earl Chateau de Rousse,375,119,317.33,0.039391170075315916,12.5,4127,90.37037037037037
Tobia,Blanco,Rioja,Spain,2017,White wine,Bodegas Tobia,750,99,132,0.09848484848484848,13,2756,88.42857142857143
Tobia,Blanco,Rioja,Spain,2017,White wine,Bodegas Tobia,375,59,157.33,0.08262886925570456,13,2756,88.42857142857143
Schömehl,Riesling QbA trocken,Nahe,Germany,2018,White wine,Weingut Schömehl GbR,750,139,185.33,0.06474936599579129,12,5830,NaN
Schömehl,Riesling trocken QbA,Nahe,Germany,2018,White wine,Weingut Schömehl GbR,375,82,218.67,0.05487721223761833,12,5830,NaN
Deep Roots,Riesling,Pfalz,Germany,2018,White wine,Drei Winner GmbH,750,89,118.67,0.10112075503497092,12,5802,NaN
Jacob's Creek,Shiraz Cabernet,South Eastern Australia,Australia,2018,Red wine,Orlando,750,79,105.33,0.13291559859489224,14,2066,87.02702702702703
Gueule de Loup 5/6,de Villeneuve,Provence,France,NA,Red wine,Château de Roquefort,750,169,225.33,0.057693161141437,13,73482,NaN
Pargolo,Chianti Classico,Toscana,Italy,2012,Red wine,La Villa di Ilaria,750,249,332,0.043674698795180725,14.5,75310,NaN
Simonsig,Pinotage Redhill,Western Cape,South Africa,2016,Red wine,Simonsig Estate,750,198,264,0.056818181818181816,15,72621,89.03125
Big Fine Girl,Riesling,South Australia,Australia,2017,White wine,The Spurs Wine Company,750,159,212,0.0589622641509434,12.5,75431,NaN
b.io,Primitivo Organic,Apulien,Italy,2017,Red wine,Gruppo Cevico Soc. Coop Agricola,750,119,158.67,0.08823344047393963,14,73494,88.35880398671097
Dolcetto d'Alba,Cascina Disa,Piemonte,Italy,2016,Red wine,Cascina Disa - Elio Sandri,750,146,194.67,0.06421122925977295,12.5,75288,86.6590909090909
Vinoterra,Kisi,Kakheti Region,Georgia,2013,White wine,Schuchmann Wines Georgia,750,264,352,0.036931818181818184,13,70304,88.66666666666667
Vinoterra,Mtsvane,Kakheti Region,Georgia,2014,White wine,Schuchmann Wines Georgia,750,234,312,0.041666666666666664,13,74388,88.66666666666667
Kaesler,Stonehorse Shiraz,South Australia,Australia,2016,Red wine,Kaesler Wines,750,259,345.33,0.04488460313323488,15.5,72071,92.28571428571429
Poeirinho,Niepoort Vinhos,Bairrada,Portugal,2015,Red wine,Niepoort Vinhos,750,279,372,0.030913978494623656,11.5,95930,NaN
Failla Sonoma Coast Chardonnay,Failla Wines,Kalifornien,US,2015,White wine,Failla Wines,750,349,465.33,0.030086175402402597,14,95931,NaN
Pater Sangiovese,NA,Toscana,Italy,2016,Red wine,Frescobaldi,750,119,158.67,0.08193105186865823,13,22316,NaN
19 Crimes,The Banished Dark Red,South Eastern Australia,Australia,2017,Red wine,19 Crimes,750,129,172,0.07848837209302326,13.5,70021,87
19 Crimes,Hard Chardonnay,South Eastern Australia,Australia,2017,White wine,19 Crimes,750,99,132,0.10227272727272728,13.5,72054,87
19 Crimes,Uprising Red Wine,South Eastern Australia,Australia,2017,Red wine,19 Crimes,750,129,172,0.08430232558139535,14.5,70157,87
19 Crimes,Cabernet Sauvignon,South Eastern Australia,Australia,2017,Red wine,19 Crimes,750,99,132,0.10227272727272728,13.5,73313,87
Casillero del Diablo,Chardonnay,Valle Central,Chile,2018,White wine,Concha y Toro,750,79,105.33,0.12816861293078896,13.5,2075,86.6590909090909
Casillero del Diablo,Chardonnay,Valle Central,Chile,2018,White wine,Concha y Toro,375,40,106.67,0.12655854504546732,13.5,2075,86.6590909090909
Nederburg,Two Centuries,Western Cape,South Africa,2013,Red wine,Nederburg Wines,750,399,532,0.02819548872180451,15,75616,86.6
Cap Royal,Sauvignon Blanc,Bordeaux,France,2016,White wine,Comp Medocaine des Grand Crus,750,159,212,0.0589622641509434,12.5,75238,86.5
Sandrofay,Costa Bassa,Lombardiet,Italy,2015,Red wine,Sandro Fay,750,229,305.33,0.0425768840271182,13,71192,NaN
Sandro Fay,Cà Moré,Lombardiet,Italy,2015,Red wine,Sandro Fay,750,339,452,0.029867256637168143,13.5,70601,NaN
Cap Royal,Bordeaux Supérieur,Bordeaux,France,2015,Red wine,Compagnie Médocaine des Grands Crus,750,159,212,0.06132075471698113,13,75680,86.5
Barbaresco Albesani,Piero Busso,Piemonte,Italy,2014,Red wine,Piero Busso,750,459,612,0.02369281045751634,14.5,75902,NaN
Le Havre de Paix,Blanc,Frankrike sydväst,France,2018,White wine,Les Grands Chais de France,750,89,118.67,0.09690739024184714,11.5,74617,NaN
Le Havre de Paix,Rosé,Languedoc-Roussillon,France,2018,Rosé wine,Les Grands Chais de France,750,89,118.67,0.10533411982809472,12.5,73034,NaN
Le Havre de Paix,Rouge,Languedoc-Roussillon,France,2016,Red wine,Les Grands Chais de France,750,89,118.67,0.10112075503497092,12,75358,NaN
Alma de Merixel,Marques de Alcantara,NA,Spain,NA,Sparkling blue,Marques de Alcantara,750,119,158.67,0.06932627465809542,11,73490,NaN
El Marascar,Rosato Veronese,Venetien,Italy,2017,Rosé wine,Le Marognole,750,195,260,0.04807692307692308,12.5,70973,NaN
Moulin Touchais,NA,Loiredalen,France,1998,White wine,Touchais,750,399,532,0.023496240601503758,12.5,74305,87
Dolcetto d'Alba,Piani Noce,Piemonte,Italy,2016,Red wine,Armando Parusso,750,199,265.33,0.04899559039686428,13,73998,86.6590909090909
Ott Fass 4,Grüner Veltliner,Niederösterreich,Austria,2017,White wine,Bernhard Ott,750,239,318.67,0.03922553111369128,12.5,74956,NaN
Copertino,Riserva,Apulien,Italy,2010,Red wine,Cantina Sociale Copertino,750,89,118.67,0.10954748462121851,13,2077,87.2
Melville,Estate Chardonnay,Kalifornien,US,2016,White wine,Melville Winery,750,359,478.67,0.029247707188668603,14,90030,91.91836734693878
Côte-Rôtie,Ampodium,Rhonedalen,France,2016,Red wine,Domaine Rostaing,750,629,838.67,0.016693097404223353,14,90293,NaN
Lange Twins,Caricature,Kalifornien,US,2015,Red wine,Lange Twins Collection of Family Wines,750,199,265.33,0.056533373534843404,15,72925,NaN
Ivory & Burt,Zinfandel,Kalifornien,US,2015,Red wine,Lange Twins Collection of Family Wines,750,179,238.67,0.0628482842418402,15,78002,NaN
Lange Twins,Cabernet Sauvignon,Kalifornien,US,2014,Red wine,Lange Twins Collection of Family Wines,750,199,265.33,0.05464892775034862,14.5,75010,NaN
Rongopai,Pinot Noir,Marlborough,New Zealand,2017,Red wine,Babich Wines Limited,750,189,252,0.0496031746031746,12.5,73694,NaN
Rongopai,Sauvignon Blanc,Marlborough,New Zealand,2017,White wine,Babich Wines Limited,750,149,198.67,0.06291840740927165,12.5,74144,NaN
Valdaya,Ribera del Duero,Kastilien-León,Spain,2016,Red wine,De Haan Altés,750,289,385.33,0.03763008330521891,14.5,90347,NaN
Papilles,Rouge,Rhonedalen,France,NA,Red wine,Cave les Coteaux,750,129,172,0.08139534883720931,14,82011,87.2
Massolino,Barolo Parafada,Piemonte,Italy,2012,Red wine,Az. Agr. Vigna Rionda S.S. di Massolino F.lli,750,629,838.67,0.016693097404223353,14,71574,93.25925925925925
La Vero,Soave,Venetien,Italy,2017,White wine,"Corte Canella di Venturini Francesco, Veronica e Castagnedi Adriana Maria",750,195,260,0.05,13,75139,NaN
Torre di Giano,Bianco,Umbrien,Italy,2017,White wine,Lungarotti,750,109,145.33,0.08601114704465698,12.5,74450,87
Mirum,Ribera del Duero,Kastilien-León,Spain,2016,Red wine,De Haan Altés,750,449,598.67,0.024220355120517147,14.5,90349,91
El Coto,Crianza,Rioja,Spain,2015,Red wine,Bodegas El Coto,375,49,130.67,0.09948725797811281,13,12670,87.06666666666666
El Coto,Blanco,Rioja,Spain,2018,White wine,Bodegas El Coto,375,45,120,0.10416666666666667,12.5,2780,87.06666666666666
Tenuta Di Nozzole,Vin Santo Del Chianti Classico,Toscana,Italy,2008,White wine,Ambrogio e Giovanni Folonari,500,299,598,0.020066889632107024,12,73177,NaN
Massolino,Barolo Margheria,Piemonte,Italy,2011,Red wine,Az. Agr. Vigna Rionda S.S. di Massolino F.lli,750,629,838.67,0.01728927945437419,14.5,71946,93.25925925925925
Massolino,Barolo Margheria,Piemonte,Italy,2012,Red wine,Az. Agr. Vigna Rionda S.S. di Massolino F.lli,750,629,838.67,0.016693097404223353,14,73670,93.25925925925925
Araldica,Barbera d'Asti Superiore,Piemonte,Italy,2016,Red wine,Araldica Castelvero S.C.A.,750,109,145.33,0.0997729305718021,14.5,73057,87.33333333333333
Côte de Provence,Rosé,Provence,France,2017,Rosé wine,Chateau Vannières,750,169,225.33,0.05991212887764612,13.5,77296,NaN
Testament Posip,NA,Primorska,Croatia,2018,White wine,San D.O.O.,750,149,198.67,0.06291840740927165,12.5,74023,NaN
Testament Babic,NA,Primorska,Croatia,2016,Red wine,San D.O.O.,750,159,212,0.0660377358490566,14,73669,NaN
Môrelig,Rosé,Western Cape,South Africa,2017,Rosé wine,Môrelig Vineyards,750,161,214.67,0.06055806586854242,13,73180,NaN
Kottabos,Grenache Syrah,Western Cape,South Africa,2017,Red wine,Boschkloof Wines,750,205,273.33,0.04939084622983207,13.5,75785,NaN
Rennina,Pieve di Santa Restituta,Toscana,Italy,2013,Red wine,Pieve di Santa Restituta,750,899,1198.67,0.011262482584864892,13.5,90359,92
Barolo Tortoniano,Michele Chiarlo,Piemonte,Italy,2013,Red wine,Michele Chiarlo,375,199,530.67,0.02638174383326738,14,90362,NaN
Corvàia,Pinot Grigio,Trentino-Alto Adige,Italy,2016,White wine,Corvée srl,750,189,252,0.05555555555555555,14,90365,NaN
Speri,Amarone della Valpolicella Classico,Venetien,Italy,1990,Red wine,Speri,750,2200,2933.33,0.00511364217459338,15,95134,87
Barone Ricasoli,Casalferro,Toscana,Italy,2015,Red wine,Barone Ricasoli,750,329,438.67,0.03305446007249185,14.5,90234,87
Charmes Chambertin Grand Cru,Doamine Arlaud,Bourgogne,France,2016,Red wine,Domaine Arlaud,750,1399,1865.33,0.00670122712871181,12.5,90372,NaN
Ruby Frizz,Frizzante Organic,NA,Italy,NA,White wine,Arcus Wine Brands,750,99,132,0.08333333333333333,11,70431,NaN
Sandro Fay,Carteria Riserva,Lombardiet,Italy,2014,Red wine,Sandro Fay,750,369,492,0.026422764227642278,13,74834,NaN
Moulin Touchais,NA,Loiredalen,France,1968,White wine,Touchais,750,795,1060,0.01179245283018868,12.5,73640,87
L'ottava Isola,Etna Rosso,Sicilien,Italy,2015,Red wine,Tenuta di Castellaro S.r.l.,750,270,360,0.0375,13.5,71172,NaN
Gattice,Toscano Rosato,Toscana,Italy,2017,Rosé wine,Azienda Agricola Terre di Melazzano,750,109,145.33,0.08601114704465698,12.5,71951,NaN
Bordeaux Special,NA,Bordeaux,France,NA,Red wine,Sovex Woltner,4500,930,206.67,0.06290221125465718,13,70302,NaN
Petit Figeac,Saint-Émilion Grand Cru,Bordeaux,France,2014,Red wine,Compagnie Médocaine des Grands Crus,750,599,798.67,0.016277060613269563,13,71336,91
Cuéntame,Rosé,Kastilien-La Mancha,Spain,2017,Rosé wine,Indiwines,750,117,156,0.08012820512820513,12.5,72617,NaN
Chateau Pichon,Baron,Bordeaux,France,2007,Red wine,Compagnie Médocaine des Grands Crus,750,1699,2265.33,0.005738678249967996,13,70674,NaN
Délice du Prieuré,Saint-Èmilion Grand Cru,Bordeaux,France,2014,Red wine,Chateau Siaurac,750,326,434.67,0.032208341960567786,14,70069,88
L'Enchanteur de Vray Croix De Gay,Pomerol,Bordeaux,France,2014,Red wine,Chateau Siaurac,750,409,545.33,0.023838776520638878,13,73401,NaN
Château Le Prieuré,Saint-Émilion Grand Cru,Bordeaux,France,2012,Red wine,Chateau Siaurac,750,524,698.67,0.020038072337441138,14,72023,85
Baronne De Siaurac,Lalande de Pomerol,Bordeaux,France,2013,Red wine,Chateau Siaurac,750,247,329.33,0.039474083745786905,13,72725,NaN
Château Siaurau,Lalande de Pomerol,Bordeaux,France,2013,Red wine,Chateau Siaurac,750,334,445.33,0.030314598163159904,13.5,73435,NaN
Dirler-Cadé Riesling,Riesling,Alsace,France,2016,White wine,Dirler-Cadé,750,169,225.33,0.055474193405227884,12.5,71129,NaN
Megas Oenos,NA,Peloponnesos,Greece,2014,Red wine,Domaine Skouras,750,249,332,0.04216867469879518,14,72182,87
Salto,Wild Yeast,Peloponnesos,Greece,2016,White wine,Domaine Skouras,750,198,264,0.043560606060606064,11.5,70269,85.11111111111111
Chateau Ste Michelle,Syrah,Washington State,US,2016,Red wine,Domaine Ste Michelle,750,139,185.33,0.0728430367452652,13.5,4660,NaN
Crystallum,Agnes Chardonnay,Western Cape,South Africa,2017,White wine,Crystallum Wines,750,239,318.67,0.03922553111369128,12.5,99369,NaN
Villa Valentina,Il Classico,Sicilien,Italy,2015,Red wine,Iconic Wines,750,99,132,0.10606060606060606,14,72945,NaN
Sanz,Verdejo,Kastilien-León,Spain,2017,White wine,Vinos Sanz,750,121,161.33,0.08367941486394347,13.5,83372,87
Sanz La Capital,Roble,Madrid,Spain,2015,Red wine,Vinos Sanz,750,126,168,0.08333333333333333,14,76601,NaN
Sanz,El Loco,Kastilien-León,Spain,2017,White wine,Vinos Sanz,750,133,177.33,0.07330964867760671,13,74887,87
Valletta,Gagliole,Toscana,Italy,2015,Red wine,Gagliole,750,277,369.33,0.039260282132510226,14.5,74522,NaN
Tìros,Siddura,Sardinien,Italy,2014,Red wine,Siddura,750,341,454.67,0.03189126179426837,14.5,70596,NaN
Siegbert Bimmerle,Spätburgunder Trocken,Baden,Germany,2015,Red wine,Siegbert Bimmerle,750,159,212,0.06367924528301887,13.5,74337,NaN
Preparatus Supervivet,Lars Wilderängs,Rhonedalen,France,2017,Red wine,Domaine Roche,750,175,233.33,0.06214374491064158,14.5,75406,NaN
Frontos,Blanco Seco,Kanarieöarna,Spain,2014,White wine,Bodega Frontos,750,270,360,0.03611111111111111,13,74223,NaN
La Casa di Bricciano,Sangiovese,Toscana,Italy,2011,Red wine,La Casa di Bricciano,750,355,473.33,0.027464982147761604,13,74238,NaN
Rutini,Cabernet Franc,Cuyo,Argentina,2017,Red wine,Rutini Wines,750,149,198.67,0.07046861629838426,14,3305,86.86842105263158
Noble Vines 337,NA,Kalifornien,US,2016,Red wine,Noble Vines,750,119,158.67,0.09138463477658033,14.5,4661,NaN
Noble Vines 337,NA,Kalifornien,US,2016,Red wine,Noble Vines,375,69,184,0.07880434782608696,14.5,4661,NaN
Don Amerigo,Gran Reserva Syrah,Coquimbo,Chile,2017,Red wine,Viña Mayu,750,119,158.67,0.08823344047393963,14,4662,NaN
Hermitage Rouge,E Guigal,Rhonedalen,France,2015,Red wine,E Guigal,750,449,598.67,0.02338517046118897,14,4663,NaN
Roc de Cambes,Francois Mitjavile,Bordeaux,France,2011,Red wine,Francois Mitjavile,750,699,932,0.01555793991416309,14.5,99376,NaN
Propiedad,NA,Rioja,Spain,2011,Red wine,Bodegas Palacios Remondo,750,329,438.67,0.03305446007249185,14.5,73336,88
Domaine Labruyere,Coeur de Terroirs,Bourgogne,France,2013,Red wine,Champagne JM Labruyère,750,179,238.67,0.05446851300959484,13,75175,NaN
Moulin-à-Vent Le Carquelin,Domaine Labruyére,Bourgogne,France,2013,Red wine,Champagne JM Labruyère,750,239,318.67,0.04079455235823893,13,73978,NaN
Rüdesheimer Berg Schlossberg,Alte Reben,Rheingau,Germany,2016,White wine,August Kesseler,750,349,465.33,0.026862656609288032,12.5,90408,94
Château Cantemerle,NA,Bordeaux,France,2009,Red wine,Château Cantemerle,750,599,798.67,0.016277060613269563,13,95492,87
Château Cantenac Brown,NA,Bordeaux,France,2009,Red wine,Château Cantenac Brown,750,899,1198.67,0.011262482584864892,13.5,95935,87
Mondeuse,Claude Quenard & Fils,Savoie,France,2015,Red wine,Claude Quenard & Fils,750,219,292,0.0410958904109589,12,95937,87.26666666666667
Langhe Rosato,Diecigradi,Piemonte,Italy,2017,Rosé wine,Acienda Agricola Filippo Broccardo,750,149,198.67,0.06543514370564253,13,70164,NaN
Castel Sallegg,Lagrein Rosé,Trentino-Alto Adige,Italy,2017,Rosé wine,Castel Sallegg,750,164,218.67,0.057163762747519095,12.5,75343,87
Pedrazais,Alan De Val Mencia Sobre Lias,Galicien,Spain,2015,Red wine,Alan de Val,750,239,318.67,0.04393259484733423,14,70156,NaN
Alexandra Estate,Chardonnay,Trakien,Bulgaria,2014,White wine,Alexandra Vineyards,750,189,252,0.05357142857142857,13.5,73251,NaN
El Solà d'en Pol,Clua,Katalonien,Spain,2016,Rosé wine,Celler Xavier Clua,750,120,160,0.084375,13.5,72190,NaN
Alexandra Estate,Vermentino,Trakien,Bulgaria,2015,White wine,Alexandra Vineyards,750,189,252,0.05357142857142857,13.5,73285,NaN
Bandol Rosé,Château Canadel,Provence,France,2016,Rosé wine,Chateau Canadel,750,245,326.67,0.041326108917255945,13.5,71482,NaN
Villa Melnik,Bergulé,Trakien,Bulgaria,2013,Red wine,Melnik,750,170,226.67,0.061763797591211894,14,70495,87
Villa Melnik,Bergulé Cuvée,Trakien,Bulgaria,2012,Red wine,Melnik,750,170,226.67,0.061763797591211894,14,70213,87
Chevalier-Montrachet,Grand Cru,Bourgogne,France,2015,White wine,Olivier Leflaive,750,5499,7332,0.0017730496453900709,13,90436,87
Meursault Les Clous,Olivier Leflaive,Bourgogne,France,2015,White wine,Olivier Leflaive,750,669,892,0.014573991031390135,13,90456,NaN
Corton Charlemagne Grand Cru,Domaine Bonneau du Martray,Bourgogne,France,2016,White wine,Domaine Bonneau du Martray,750,1650,2200,0.005909090909090909,13,96310,92
L'Ermite Blanc,M. Chapoutier,Rhonedalen,France,2015,White wine,Chapoutier,750,4399,5865.33,0.0023869074715318662,14,96311,NaN
La Croix Picot,Savenniéres,Loiredalen,France,2015,White wine,Domaine de la Bergerie,750,249,332,0.0391566265060241,13,75728,NaN
Malbec du Clos,Malbec,Frankrike sydväst,France,2015,Red wine,Jean-Luc Baldés,750,139,185.33,0.0728430367452652,13.5,71078,88
Ramírez de la Piscina,Reserva,Rioja,Spain,2013,Red wine,Bodegas Ramírez,1500,405,270,0.05185185185185185,14,70364,NaN
Siegbert Bimmerle,Riesling Kabinett Trocken,Baden,Germany,2016,White wine,Siegbert Bimmerle,750,159,212,0.05660377358490566,12,73919,NaN
Prendina,Cabernet,Venetien,Italy,2016,Red wine,AZ Agr La Prendina,750,188,250.67,0.055850321139346557,14,73496,NaN
Vida Kékfrankos,NA,Pannon,Hungary,2015,Red wine,Vida Családi Borbirtok,750,139,185.33,0.06744725624561593,12.5,74436,NaN
Mas de Boislauzon,Quet,Rhonedalen,France,2015,Red wine,Mas de Boislauzon,750,699,932,0.016094420600858368,15,77358,NaN
Châteauneuf-du-Pape Tintot,Mas de Boislauzon,Rhonedalen,France,2015,Red wine,Mas de Boislauzon,750,699,932,0.016094420600858368,15,75794,NaN
E.Guigal,Côtes-du-Rhône Rosé,Rhonedalen,France,2016,Rosé wine,E Guigal,750,119,158.67,0.08508224617129893,13.5,72773,NaN
Kamnik,Ten Barrels Syrah Reserva,Povardarje,Macedonia,2015,Red wine,Chateau Kamnik,750,240,320,0.04375,14,72663,NaN
Kamnik,Merlot Single Vineyard Reserva,Povardarje,Macedonia,2014,Red wine,Chateau Kamnik,750,280,373.33,0.04017893016901937,15,72326,NaN
Bourgogne Blanc,Haute Côtes de Nuits Cuvée Marine,Bourgogne,France,2015,White wine,Domaine Anne Gros,750,299,398.67,0.0326084230064966,13,96358,86.5
Kamnik,Pinot Grigio Single Vineyard,Povardarje,Macedonia,2016,White wine,Kamnik,750,150,200,0.065,13,71320,NaN
Barbera d'Alba Poderi Vaiot,Franco Casetta,Piemonte,Italy,2016,Red wine,Franco Casetta,750,155,206.67,0.065321527072144,13.5,75540,NaN
Barbaresco Balestruccio,Franco Casetta,Piemonte,Italy,2014,Red wine,Franco Casetta,750,296,394.67,0.03673955456457293,14.5,73552,NaN
Roero Arneis Poderi Vaiot,NA,Piemonte,Italy,2017,White wine,Franco Casetta,750,146,194.67,0.0693481276005548,13.5,71623,NaN
Franco Casetta,Moscato d'Asti,Piemonte,Italy,2016,White wine,Franco Casetta,750,136,181.33,0.02757403628743175,5,76151,NaN
Côte Rotie,Reviniscence Lionel Faury,Rhonedalen,France,2016,Red wine,Domaine Faury,750,419,558.67,0.023269550897667676,13,74679,NaN
Condrieu,Domaine Faury,Rhonedalen,France,2016,White wine,Domaine Faury,750,399,532,0.02631578947368421,14,71853,91.64285714285714
AIX,Rosé,Provence,France,2017,Rosé wine,AIX,3000,799,266.33,0.048811624676153645,13,76141,87
Barolo,Azelia,Piemonte,Italy,2015,Red wine,Azienda Agricola Azelia,750,315,420,0.034523809523809526,14.5,72264,90.7838669950739
Passorosso,Passopisciaro DOC Etna,Sicilien,Italy,2015,Red wine,Vini Franchetti SRL,750,369,492,0.027439024390243903,13.5,72910,88
Rabel,Langhe Bianco,Piemonte,Italy,2017,White wine,Cagliero,750,149,198.67,0.07046861629838426,14,72488,86
El Copero,Tinto,Valencia,Spain,NA,Red wine,Bodegas Murviedro,3000,199,66.33,0.18091361374943465,12,71085,NaN
Majella,Cabernet Sauvignon,South Australia,Australia,2015,Red wine,Majella Wines Pty Ltd,750,199,265.33,0.05276448196585384,14,2662,NaN
Château Ponzac,Malbec,Frankrike sydväst,France,2016,Red wine,Château Ponzac,750,169,225.33,0.05991212887764612,13.5,2778,87
Palesa,Sauvignon Blanc,Western Cape,South Africa,2018,White wine,uniWines Marketing,3000,249,83,0.15060240963855423,12.5,12734,NaN
Perdeberg,Rosé,Western Cape,South Africa,2018,Rosé wine,Perdeberg Winery,3000,219,73,0.1780821917808219,13,50001,NaN
Hope,Chardonnay Reserve,Western Cape,South Africa,2018,White wine,Du Toitskloof Cellar,1500,149,99.33,0.1359106010268801,13.5,50002,87.37974683544304
Madia,Montepulciano d'Abruzzo,Abruzzerna,Italy,2017,Red wine,Torre Zambra S.R.L.,750,79,105.33,0.12816861293078896,13.5,2802,NaN
Cantaburros,Roble,Kastilien-León,Spain,2017,Red wine,S.A.T. San Pablo,750,139,185.33,0.0728430367452652,13.5,75137,85
Trapiche Vineyards,Sauvignon Blanc,Cuyo,Argentina,2018,White wine,Bodegas Trapiche,750,79,105.33,0.12342162726668565,13,71188,NaN
Trapiche,Estacion 1883 Bonarda,Cuyo,Argentina,2017,Red wine,Bodegas Trapiche,750,109,145.33,0.09633248469001582,14,70593,87.40707964601769
Meursault Village,NA,Bourgogne,France,2016,White wine,Henri Boillot,750,639,852,0.015258215962441314,13,73582,NaN
Barta Furmint,NA,Tokaj,Hungary,2016,White wine,Mád Király Dülö Kft,750,278,370.67,0.033722718320878406,12.5,70695,NaN
Volnay Village,NA,Bourgogne,France,2016,White wine,Domaine Henri Boillot,750,719,958.67,0.013560453545015491,13,70704,NaN
Bolla Le Origini,Amarone Classico Riserva,Venetien,Italy,2012,Red wine,Bolla,750,389,518.67,0.03084813079607458,16,73426,NaN
Gato Negro,Sauvignon Blanc,Valle Central,Chile,2018,White wine,Viña San Pedro,250,29,116,0.10344827586206896,12,7934,82
Gato Negro,Cabernet Sauvignon,Valle Central,Chile,2018,Red wine,Viña San Pedro,250,29,116,0.11206896551724138,13,7935,82
Lynx,Zinfandel Petite Sirah,Kalifornien,US,2017,Red wine,House of Big Wines,3000,269,89.67,0.15055202408832385,13.5,72675,NaN
Le Miccine,Chianti Classico,Toscana,Italy,2015,Red wine,Le Miccine,750,252,336,0.041666666666666664,14,71204,87
Henri Boillot,Bourgogne Pinot Noir,Bourgogne,France,2016,Red wine,Henri Boillot,750,324,432,0.03009259259259259,13,70004,NaN
La Galoche,Beaujolais Gamay,Bourgogne,France,2017,Red wine,Domaine Saint-Cyr,750,169,225.33,0.055474193405227884,12.5,71958,NaN
Vida,Kadarka,NA,Hungary,2016,Red wine,Vida Családi Borbirtok,750,190,253.33,0.04736904432953065,12,70590,87.84158415841584
Clos de Lolol,Francois Lurton,Valle Central,Chile,2013,Red wine,Hacienda Araucano S.A,750,215,286.67,0.050580807199916276,14.5,76261,87
Marani,Tvishi,Racha Region,Georgia,2016,White wine,Telavi Wine Cellar,750,186,248,0.04435483870967742,11,73108,87.57894736842105
Godeval Cepas Vellas,NA,Galicien,Spain,2017,White wine,Bodegas Godeval,750,149,198.67,0.0679518800020134,13.5,2191,NaN
Bourgogne Chardonnay Vieilles Vignes,Domaine Pierre Labet,Bourgogne,France,2016,White wine,Domaine Pierre Labet,750,289,385.33,0.033737316066747985,13,95099,NaN
Lungarotti,Montefalco Sagrantino,Umbrien,Italy,2012,Red wine,Lungarotti,750,295,393.33,0.03686471919253553,14.5,75575,87
Lungarotti,Montefalco Rosso,Umbrien,Italy,2014,Red wine,Lungarotti,750,169,225.33,0.062131096613855234,14,79141,87
