name_1,name_2,region,country,year,type,producer,volume,price_sek,price_pr_litre_sek,apk,alcohol,product_num,score
Chateau De La Ragotière,Selection Vieilles Vignes,Loiredalen,France,2014,White wine,Les Frères Couillaud,750,109,145.33,0.0825707011628707,12,74620,NaN
Barolo La Tartufaia,Giulia Negri,Piemonte,Italy,2012,Red wine,Giulia Negri,1500,747,498,0.029116465863453816,14.5,74025,NaN
Barolo Serradenari,Giulia Negri,Piemonte,Italy,2012,Red wine,Giulia Negri,750,425,566.67,0.02558808477597191,14.5,74393,NaN
Ponzi,Tavola Pinot Noir,Oregon,US,2013,Red wine,Ponzi Vineyards,750,269,358.67,0.03624501631025734,13,74091,91.17647058823529
Ponzi,Pinot Gris,Oregon,US,2016,White wine,Ponzi Vineyards,750,199,265.33,0.04899559039686428,13,74876,91.17647058823529
Amasole,Langhe Nebbiolo,Piemonte,Italy,2016,Red wine,Pertinace SCA,750,149,198.67,0.07046861629838426,14,74628,NaN
Amasole,Valpolicella Ripasso Superiore,Venetien,Italy,2015,Red wine,Cottini SPA,750,129,172,0.08139534883720931,14,74970,NaN
Les Primevères,Côtes du Rhône Villages,Rhonedalen,France,2014,White wine,Domaine de Cabasse,750,120,160,0.084375,13.5,74840,NaN
Jacob's Creek,Crisp Rosé,South Eastern Australia,Australia,2018,Rosé wine,Jacob's Creek Wines,750,85,113.33,0.10588546721962411,12,6413,87.02702702702703
Jacob's Creek,Reserve Shiraz Cabernet Sauvignon,South Australia,Australia,2016,Red wine,Jacob's Creek Wines,750,99,132,0.10984848484848485,14.5,6418,87.02702702702703
Cosa Dolce,Gewürztraminer Riesling,South Eastern Australia,Australia,2016,White wine,De Bortoli,750,75,100,0.125,12.5,6217,NaN
Cameleon,Malbec Cabernet Rosé,Cuyo,Argentina,2018,Rosé wine,Domaine Bousquet,3000,209,69.67,0.17224056265250465,12,6570,87
Domaine de Cabasse,Cuvée Garnacho,Rhonedalen,France,2014,Red wine,Domaine de Cabasse,750,140,186.67,0.0723201371404082,13.5,72524,NaN
Domaine de Cabasse,Cuvée Casa Bassa,Rhonedalen,France,2011,Red wine,Domaine de Cabasse,750,160,213.33,0.06562602540664697,14,72397,NaN
Châteauneuf-du-Pape,Domaine du Père Caboche,Rhonedalen,France,2013,Red wine,Domaine du Père Caboche,750,249,332,0.043674698795180725,14.5,71110,90.41304347826087
Côtes du Rhône,Domaine du Père Caboche,Rhonedalen,France,2016,Red wine,Domaine du Père Caboche,750,140,186.67,0.0749986607382011,14,76547,87.3717105263158
L'Oiseau Blanc,NA,Languedoc-Roussillon,France,2014,White wine,mas Foulaquier,750,200,266.67,0.04687441406982412,12.5,71444,NaN
Les Tonillières,NA,Languedoc-Roussillon,France,2013,Red wine,mas Foulaquier,750,164,218.67,0.06173686376732063,13.5,73406,NaN
Le Petit Duc,NA,Languedoc-Roussillon,France,2013,Red wine,mas Foulaquier,750,193,257.33,0.05634788015388801,14.5,75154,NaN
Mortiès,NA,Languedoc-Roussillon,France,2012,Red wine,Domaine de Mortiès,750,134,178.67,0.08115520232831477,14.5,79111,NaN
Mortiès,NA,Languedoc-Roussillon,France,2013,White wine,Domaine de Mortiès,750,134,178.67,0.08115520232831477,14.5,79004,NaN
L'Orphèe,Syrah Grenache,Languedoc-Roussillon,France,2014,Red wine,mas Foulaquier,750,191,254.67,0.0530097773589351,13.5,79048,NaN
Villa Valentina,Sangiovese,Apulien,Italy,2018,Red wine,Iconic Wines,750,89,118.67,0.1137608494143423,13.5,76598,NaN
Reviresco,Morellino di Scansano,Toscana,Italy,2012,Red wine,Bodegas Coop. de Vino de Toro,750,155,206.67,0.065321527072144,13.5,74542,88
Rara Neagra de Purcari,NA,NA,Moldova,2015,Red wine,Purcari,750,164,218.67,0.05945031325741986,13,79278,NaN
Domaine du Petit Clocher,Anjou Blanc,Loiredalen,France,2014,White wine,Domaine du Petit Clocher,750,175,233.33,0.05571508164402348,13,76257,87
Auramaris,Vermentino,Toscana,Italy,2013,White wine,Bodegas Coop. de Vino de Toro,750,155,206.67,0.065321527072144,13.5,74682,NaN
Domaine Bousquet,Reserve Cabernet Sauvignon,Cuyo,Argentina,2014,Red wine,Domaine Bousquet,750,119,158.67,0.09138463477658033,14.5,2342,87
Vinlåda Spännande Spanien Röd,NA,NA,Spain,NA,Red wine,Flera producenter,4500,1032,229.33,0.0610473989447521,14,74843,NaN
Leconfield,Shiraz,South Australia,Australia,2014,Red wine,Leconfield Wines,750,195,260,0.05576923076923077,14.5,71816,91
Leconfield,Cabernet Merlot,South Australia,Australia,2013,Red wine,Leconfield Wines,750,195,260,0.05384615384615385,14,74562,91
River Farm,Sauvignon Blanc,Marlborough,New Zealand,2015,White wine,Starborough,750,149,198.67,0.06543514370564253,13,70672,NaN
African Dawn,Chenin Blanc,Western Cape,South Africa,2015,White wine,Rooiberg Winery LTG,750,89,118.67,0.10533411982809472,12.5,70062,NaN
Amadio,Shiraz,South Australia,Australia,2013,Red wine,Amadio Wines,750,229,305.33,0.04748960141486261,14.5,77605,87
Amadio,Cabernet Sauvignon,South Australia,Australia,2012,Red wine,Amadio Wines,750,229,305.33,0.048472144892411494,14.8,77615,87
Tommasi,Bardolino Chiaretto,Venetien,Italy,2018,Rosé wine,Tommasi Viticoltori,750,109,145.33,0.0825707011628707,12,70749,87.54411764705883
Château Haut Condissas,Prestige,Bordeaux,France,2009,Red wine,Château Haut Condissas,750,489,652,0.02147239263803681,14,76782,87
