name_1,name_2,region,country,year,type,producer,volume,price_sek,price_pr_litre_sek,apk,alcohol,product_num,score,taste_body,taste_freshness,taste_tanins,taste_bitternes,taste_sweetnes,url
Sancerre Les Roches,Domaine Vacheron,Loiredalen,France,2018,White wine,Domaine Vacheron,750,229,305.33,0.045852029,14,5514,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=5514
Côtes Du Rhône Villages,Terre d'Argile,Rhonedalen,France,2014,Red wine,Domaine de la Janasse,750,181,241.33,0.060083703,14.5,73381,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=73381
Poggio Scalette,Chianti Classico,Toscana,Italy,2013,Red wine,Podere Poggio Scalette,750,210,280,0.046428571,13,72897,90.27272727,10,6,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=72897
Canua,Sforzato Di Valtellina,Lombardiet,Italy,2009,Red wine,Conti Sertoli Salis,750,428,570.67,0.026284893,15,73170,87,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=73170
Domaine Bott-Geyl,Points Cardineaux Métiss,Alsace,France,2016,White wine,Domaine Bott-Geyl,750,189,252,0.049603175,12.5,72993,86.93548387,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=72993
Medolago Albani,Valcalepio Rosso Cabernet Sauvignon Merlot,Lombardiet,Italy,2014,Red wine,Medolago Albani,750,131,174.67,0.074426061,13,71400,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=71400
Castelmare,Amarone della Valpolicella Classico,Venetien,Italy,2016,Red wine,Cantina Valpolicella Negrar,750,179,238.67,0.062848284,15,75707,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=75707
KooLooLoo,Cabernet Sauvignon Organic,Kalifornien,US,2009,Red wine,KooLooLoo Vineyards,750,239,318.67,0.044246399,14.1,71479,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=71479
KooLooLoo,Old Vine Zinfandel Organic,Kalifornien,US,2008,Red wine,KooLooLoo Vineyards,750,239,318.67,0.04581542,14.6,74632,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=74632
KooLooLoo,Chardonnay Organic,Kalifornien,US,2012,White wine,KooLooLoo Vineyards,750,239,318.67,0.042363574,13.5,76040,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=76040
Revolution,Cabernet Sauvignon,Kalifornien,US,2011,Red wine,Napa Wine Arts,750,294,392,0.03622449,14.2,71047,88.66666667,7,10,0,0,1,https://www.systembolaget.se/sok-dryck/?searchquery=71047
Rumi,Napa Valley Red,Kalifornien,US,2010,Red wine,RUMI Wine Company Napa,750,365,486.67,0.028972404,14.1,74065,91,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=74065
Lavender Creek,NA,Kalifornien,US,2012,Red wine,Napa Wine Arts,750,345,460,0.030217391,13.9,73783,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=73783
Lusthof,Pinotage,Western Cape,South Africa,2013,Red wine,Alexander Baron von Essen,750,149,198.67,0.070468616,14,73700,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=73700
Muratie,Ansela van de Caab,Western Cape,South Africa,2012,Red wine,Muratie,750,199,265.33,0.054648928,14.5,74830,87,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=74830
Domaine de Calet,Chardonnay,Languedoc-Roussillon,France,2013,White wine,Domaine de Calet,750,127,169.33,0.076773165,13,71906,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=71906
Preuss Wine Collection,Cabernet Sauvignon Merlot Melnik,Trakien,Bulgaria,2015,Red wine,Damiannitza AD,750,115,153.33,0.091306333,14,74461,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=74461
Mizzon,Passito Bianco,Venetien,Italy,2012,White wine,Mizzon di Perusi Nicola,500,299,598,0.023411371,14,79322,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=79322
Mizzon,Valpolicella Ripasso Classico Superiore,Venetien,Italy,2013,Red wine,Mizzon di Perusi Nicola,750,229,305.33,0.045852029,14,73882,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=73882
Macho Man,Monastrell,Murcia,Spain,2013,Red wine,Casa Rojo,750,210,280,0.05,14,74315,87,9,8,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=74315
Montirius Lådan,NA,NA,France,NA,Red wine,Domaine Montirius,2250,483,214.67,0.062887222,13.5,72791,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=72791
Sancerre,l'Ancienne Vigne,Loiredalen,France,2015,White wine,Fournier Père & Fils,750,234,312,0.040064103,12.5,82238,89.2599278,7,9,0,0,1,https://www.systembolaget.se/sok-dryck/?searchquery=82238
Cinclus SC,NA,NA,Spain,2011,White wine,DG Viticultors,750,147,196,0.068877551,13.5,71058,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=71058
Le Cadran de Fombrauge,NA,Bordeaux,France,2011,Red wine,Bernard Magrez,750,279,372,0.037634409,14,79027,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=79027
Si Mon Père Savait,NA,Languedoc-Roussillon,France,2013,Red wine,Bernard Magrez,750,179,238.67,0.056563456,13.5,79144,87,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=79144
Von Winning,Sauvignon Blanc 2 Trocken,Pfalz,Germany,2016,White wine,Von Winning,750,159,212,0.056603774,12,79064,NaN,8,8,0,0,2,https://www.systembolaget.se/sok-dryck/?searchquery=79064
