name_1,name_2,region,country,year,type,producer,volume,price_sek,price_pr_litre_sek,apk,alcohol,product_num,score,taste_body,taste_freshness,taste_tanins,taste_bitternes,taste_sweetnes,url
Brancaia,Chianti Classico,Toscana,Italy,2016,Red wine,Casa Brancaia,750,164,218.67,0.061736864,13.5,70725,NA,8,8,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=70725
AIX,Rosé,Provence,France,2017,Rosé wine,SRL Maison Saint Aix,15000,6014,400.93,0.032424613,13,76141,NA,6,8,0,0,1,https://www.systembolaget.se/sok-dryck/?searchquery=76141
Villa Wolf,Pinot Noir,Pfalz,Germany,2014,Red wine,Villa Wolf,750,129,172,0.072674419,12.5,76788,NA,7,7,6,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=76788
MilleUna Shahrazad,Primitivo,Apulien,Italy,2012,Red wine,Milleuna,750,284,378.67,0.04357356,16.5,78263,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=78263
Nostos,The Journey Blend,Kreta,Greece,2015,Red wine,Manousakis Winery,750,239,318.67,0.045501616,14.5,76319,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=76319
La Playa,Viognier,Valle Central,Chile,2016,White wine,Top Wine S A,750,79,105.33,0.128168613,13.5,6289,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=6289
Ribas,Negre,Balearerna,Spain,2016,Red wine,Bodegas Ribas,750,189,252,0.055555556,14,70987,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=70987
Sincronia,Negre Ecologic,Balearerna,Spain,2017,Red wine,Mesquida Mora S.L.,750,159,212,0.066037736,14,74036,NA,5,7,0,0,1,https://www.systembolaget.se/sok-dryck/?searchquery=74036
Sotil,Negre Ecologic,Balearerna,Spain,2015,Red wine,Mesquida Mora S.L.,750,279,372,0.033602151,12.5,73818,NA,7,9,4,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=73818
Mulderbosch,Single Vineyard Chenin Blanc Block A,Western Cape,South Africa,2016,White wine,Mulderbosch Vineyards,750,219,292,0.044520548,13,96272,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=96272
Finca Valpiedra,Reserva,Rioja,Spain,2008,Red wine,Finca Valpiedra,1500,419,279.33,0.05011993,14,72438,NA,8,6,7,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=72438
Valle Secreto,First Edition Carménère,Valle Central,Chile,2016,Red wine,Vina y Cava Valle Secreto,750,189,252,0.057539683,14.5,75690,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=75690
Mas La Mola,NA,Katalonien,Spain,2011,Red wine,Vinitum 2008 S.L.,750,299,398.67,0.037625103,15,76203,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=76203
Viña Maipo Vitral,Syrah Rosé Reserva,Valle Central,Chile,2017,Rosé wine,Viña Maipo SpA,750,69,92,0.141304348,13,6209,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=6209
Prescription,Reserve Zinfandel,Kalifornien,US,2016,Red wine,Fields Wine Co,750,89,118.67,0.122187579,14.5,76365,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=76365
MilleUna Maviglia,Bianco del Salento,Apulien,Italy,2015,White wine,Milleuna,750,164,218.67,0.059450313,13,70763,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=70763
MilleUna Genius,Primitivo del Salento,Apulien,Italy,2006,Red wine,Milleuna,500,591,1182,0.01142132,13.5,75635,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=75635
Hope,Shiraz Reserve,South Eastern Australia,Australia,2018,Red wine,Iconic Wines,750,79,105.33,0.137662584,14.5,6894,NA,8,8,0,0,1,https://www.systembolaget.se/sok-dryck/?searchquery=6894
Zýme,602020,Venetien,Italy,2013,Red wine,Azienda Agricola Zýme,750,430,573.33,0.026162943,15,72163,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=72163
Blanc Pescador,NA,NA,Spain,NA,White wine,Cavas del Ampurdan,750,79,105.33,0.10918067,11.5,7915,NA,5,11,0,0,2,https://www.systembolaget.se/sok-dryck/?searchquery=7915
Kings Ridge,Pinot Noir,Oregon,US,2015,Red wine,Union Wine Company,750,159,212,0.063679245,13.5,6286,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=6286
Doña Dominga,Carmenère,Valle Central,Chile,2016,Red wine,Bodegas Santo Domingo,750,119,158.67,0.091384635,14.5,6352,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=6352
Spier Signature,Sauvignon Blanc Sémillon,Western Cape,South Africa,2018,White wine,Spier Wines,750,79,105.33,0.128168613,13.5,2234,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=2234
Hafez,Shiraz,Languedoc-Roussillon,France,2015,Red wine,François Lurton,750,129,172,0.081395349,14,70285,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=70285
Antonio Mountain,Chardonnay,Kalifornien,US,2013,White wine,Sonoma Coast Vineyards,750,355,473.33,0.029577673,14,71543,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=71543
Zola,Cape Cuvée,Western Cape,South Africa,2017,Red wine,Du Toitskloof Cellar,750,75,100,0.14,14,2719,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=2719
Org de Rac,Chardonnay,Western Cape,South Africa,2018,White wine,Org de Rac,750,99,132,0.102272727,13.5,2930,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=2930
MilleUna Mantonero,NA,Apulien,Italy,2015,Red wine,Mille Una,750,159,212,0.070754717,15,70792,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=70792
Speri,Amarone della Valpolicella Classico,Venetien,Italy,2013,Red wine,Speri,750,399,532,0.028195489,15,74334,NA,9,8,5,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=74334
Domaine du Grand Montmirail,Cuvée Vieilles Vignes,Rhonedalen,France,2016,Red wine,Cave Pascal,375,115,306.67,0.047282095,14.5,2213,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=2213
Réserve Auguste Favier,NA,Rhonedalen,France,2013,Red wine,Domaine Saint Préfert,750,428,570.67,0.026284893,15,70857,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=70857
MilleUna Capitolo Laureto,NA,Apulien,Italy,2011,Red wine,Mille Una,750,438,584,0.02739726,16,74439,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=74439
Espectacle,NA,Katalonien,Spain,2014,Red wine,Espectacle,750,842,1122.67,0.013361005,15,90181,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=90181
Roero,Nebbiolo,Piemonte,Italy,2013,Red wine,Matteo Correggia,750,171,228,0.059210526,13.5,73299,NA,7,7,0,0,1,https://www.systembolaget.se/sok-dryck/?searchquery=73299
Barbera d'Alba,Matteo Correggia,Piemonte,Italy,2014,Red wine,Matteo Correggia,750,158,210.67,0.064081265,13.5,76101,NA,7,8,4,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=76101
Kalesh,Cuvée Red,Povardarje,Macedonia,2012,Red wine,Popova Kula,750,100,133.33,0.101252531,13.5,74539,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=74539
Vranec,Perfect Choice,Povardarje,Macedonia,2013,Red wine,Popova Kula,750,150,200,0.07,14,74005,NA,9,5,7,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=74005
Cartus,NA,Katalonien,Spain,2006,Red wine,Gran Clos,750,695,926.67,0.017266125,16,75755,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=75755
Masi,Riserva di Costasera,Venetien,Italy,2011,Red wine,Masi,750,589,785.33,0.019736926,15.5,70017,NA,6,8,3,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=70017
Château Poujeaux,Dourthe Fréres,Bordeaux,France,2014,Red wine,Dourthe Fréres,375,157,418.67,0.032244966,13.5,95354,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=95354
Château Lafon-Rochet,Saint-Estephe,Bordeaux,France,2009,Red wine,Lafon Rochet,750,1300,1733.33,0.008076939,14,73573,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=73573
Altan,Cuvée Blanc,Povardarje,Macedonia,2013,White wine,Popova Kula,750,100,133.33,0.097502438,13,75665,NA,6,7,6,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=75665
Château Lafon-Rochet,Saint-Estephe,Bordeaux,France,2010,Red wine,Lafon Rochet,750,1199,1598.67,0.008757279,14,71627,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=71627
Nero,Grande,Apulien,Italy,2015,Red wine,PV Srl MONTE PORZIO CATONE,750,129,172,0.084302326,14.5,72283,NA,4,4,5,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=72283
Reyneke,Reserve Cabernet Sauvignon,Western Cape,South Africa,2013,Red wine,Reyneke Winery,750,559,745.33,0.01945447,14.5,74926,NA,7,7,0,0,1,https://www.systembolaget.se/sok-dryck/?searchquery=74926
Legacy,White,Kreta,Greece,2015,White wine,Lyrarakis,750,145,193.33,0.062070036,12,76437,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=76437
Lyrarakis,Vilana,Kreta,Greece,2017,White wine,Lyrarakis,750,129,172,0.069767442,12,76048,NA,6,8,0,0,1,https://www.systembolaget.se/sok-dryck/?searchquery=76048
Josef Chromy,Zdar Pinot Noir,Tasmanien,Australia,2013,Red wine,Josef Chromy Wines,750,400,533.33,0.026250164,14,95582,NA,7,10,0,0,2,https://www.systembolaget.se/sok-dryck/?searchquery=95582
Josef Chromy,Zdar Chardonnay,Tasmanien,Australia,2013,White wine,Josef Chromy Wines,750,400,533.33,0.026250164,14,95583,NA,7,10,0,0,2,https://www.systembolaget.se/sok-dryck/?searchquery=95583
Douglas Green,Sauvignon Blanc,Western Cape,South Africa,2017,White wine,Douglas Green Bellingham,750,89,118.67,0.109547485,13,70954,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=70954
Monlusso,Barbera,Piemonte,Italy,2017,Red wine,Antica Cantina Di Calosso,3000,249,83,0.168674699,14,2388,NA,9,8,3,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=2388
Douglas Green,Merlot Fairtrade,Western Cape,South Africa,2017,Red wine,Douglas Green Bellingham,750,89,118.67,0.113760849,13.5,78613,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=78613
Trenel,Mâcon-Villages,Bourgogne,France,2014,White wine,Trenel & Fils,750,169,225.33,0.057693161,13,76095,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=76095
Cuvée,Grand Mas,Rhonedalen,France,2013,Red wine,Domaine de Calet,750,159,212,0.068396226,14.5,79296,NA,8,7,0,0,3,https://www.systembolaget.se/sok-dryck/?searchquery=79296
Rully Premier Cru Cuvée Signature,Bouchard Aîné et Fils,Bourgogne,France,2016,Red wine,Bouchard Aîné et Fils,750,189,252,0.051587302,13,5619,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=5619
M.Chapoutier,Bila-Haut Occultum Lapidem,Languedoc-Roussillon,France,2016,Red wine,M.Chapoutier,750,179,238.67,0.062848284,15,74421,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=74421
La Dame de Malescot,NA,Bordeaux,France,2014,Red wine,Chateau Malescot St Exupery,750,349,465.33,0.029011669,13.5,5491,NA,9,8,9,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=5491
M.Chapoutier,Les Vignes de Bila-Haut,Languedoc-Roussillon,France,2017,Red wine,M.Chapoutier,750,119,158.67,0.085082246,13.5,77129,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=77129
Frog's Leap,Sauvignon Blanc,Kalifornien,US,2014,White wine,Frog's Leap,750,229,305.33,0.039301739,12,75981,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=75981
Xavier Santana,NA,Península de Setúbal,Portugal,2015,Red wine,Xavier Santana Sucessores Lda,750,95,126.67,0.106576143,13.5,2530,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=2530
Domdechant Werner,Riesling Classic,Rheingau,Germany,2016,White wine,Domdechant Werner'sches Weingut,750,129,172,0.078488372,13.5,73612,NA,8,10,0,0,7,https://www.systembolaget.se/sok-dryck/?searchquery=73612
Zenato,Valpolicella Classico Superiore,Venetien,Italy,2016,Red wine,Zenato,750,139,185.33,0.072843037,13.5,12385,NA,10,7,6,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=12385
Frog's Leap,Merlot,Kalifornien,US,2013,Red wine,Frog's Leap,750,329,438.67,0.030774842,13.5,77527,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=77527
Château Cantemerle,NA,Bordeaux,France,2012,Red wine,Château Cantemerle,750,320,426.67,0.030468512,13,76675,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=76675
Frog's Leap,Zinfandel,Kalifornien,US,2013,Red wine,Frog's Leap,750,259,345.33,0.040540932,14,79609,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=79609
Château Haut Brandey,NA,Bordeaux,France,2016,Red wine,Bordeauxslott,750,119,158.67,0.078779858,12.5,3156,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=3156
Carlisle,Pagani Ranch Zinfandel,Kalifornien,US,2014,Red wine,Carlisle Winery,750,489,652,0.022239264,14.5,79406,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=79406
Journeyman,Chardonnay,Kalifornien,US,2016,White wine,San Lorenzo Winery,750,459,612,0.025326797,15.5,79174,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=79174
Alta Mora,Etna Rosso,Sicilien,Italy,2016,Red wine,Cusumano,750,159,212,0.066037736,14,2374,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=2374
Finca Montepedroso Verdejo,Verdejo,Kastilien-León,Spain,2016,White wine,Finca Montepedroso,1500,229,152.67,0.081875942,12.5,76507,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=76507
Bonterra,Chardonnay,Kalifornien,US,2017,White wine,Bonterra Vineyards,750,139,185.33,0.072843037,13.5,16632,NA,11,7,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=16632
Ernst,Sauvignon Blanc Chardonnay,Languedoc-Roussillon,France,2018,White wine,Domaine Wines,750,89,118.67,0.101120755,12,78659,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=78659
Grande Crevette,Sauvignon Blanc,NA,France,2018,White wine,Domaine Wines,750,79,105.33,0.113927656,12,79792,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=79792
Underwood,Pinot Gris,Oregon,US,2015,White wine,Union Wine Company,375,79,210.67,0.061707884,13,79416,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=79416
Underwood,Pinot Noir,Oregon,US,2015,Red wine,Union Wine Company,375,79,210.67,0.061707884,13,70039,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=70039
Love,Noir,Kalifornien,US,2015,Red wine,The Wine Group,750,129,172,0.078488372,13.5,72290,NA,8,9,0,0,2,https://www.systembolaget.se/sok-dryck/?searchquery=72290
Gaia & Rey,NA,Piemonte,Italy,2014,White wine,Gaja,750,1583,2110.67,0.006632965,14,75748,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=75748
Hungry Wines,Furmint Barrique,Tokaj,Hungary,2011,White wine,Szent Benedek Winery,750,169,225.33,0.059912129,13.5,74420,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=74420
Victoria,La Dolce Vita Capo di Grande,Venetien,Italy,NA,Red wine,T.C.S. Borgogno S.R.L.,750,49,65.33,0.206643196,13.5,74192,NA,5,9,0,0,9,https://www.systembolaget.se/sok-dryck/?searchquery=74192
Hungry Wines,Kadarka,Pannon,Hungary,2017,Red wine,PolgárBor,750,155,206.67,0.060482895,12.5,73150,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=73150
Van Ardi,Rött,NA,Armenia,2015,Red wine,Van Ardi,750,149,198.67,0.065435144,13,74341,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=74341
Domaine du Haut Bourg,Sauvignon,Loiredalen,France,2015,White wine,Domaine du Haut Bourg,750,124,165.33,0.072582109,12,75373,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=75373
Domaine des Tilleuls,Chardonnay Unoaked,Loiredalen,France,2015,White wine,Domaine des Tilleuls,750,121,161.33,0.074381702,12,79474,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=79474
Cuvée Clémence,NA,Bordeaux,France,2015,White wine,Cheval Quancard,750,131,174.67,0.068700979,12,78917,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=78917
Nederburg,Edelkeur,Western Cape,South Africa,2006,White wine,Nederburg Wines,375,447,1192,0.009647651,11.5,76935,NA,9,7,7,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=76935
Calcarole,Amarone della Valpolicella Classico,Venetien,Italy,2006,Red wine,Guerrieri Rizzardi,750,559,745.33,0.022137845,16.5,76427,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=76427
Saumur,Elegance,Loiredalen,France,2016,White wine,Domaine du Vieux Pressoir,750,125,166.67,0.08099838,13.5,70614,NA,7,8,7,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=70614
Sileo,NA,Katalonien,Spain,2015,Red wine,Agusti Torello,750,169,225.33,0.062131097,14,79719,NA,7,7,6,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=79719
Château Teyssier,NA,Bordeaux,France,2015,Red wine,Château Teyssier,750,299,398.67,0.036370933,14.5,79213,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=79213
L'Expressio,del Priorat,Katalonien,Spain,2015,Red wine,Vinitum 2008 S.L.,750,95,126.67,0.122365201,15.5,79137,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=79137
Querceto,Chianti,Toscana,Italy,2015,Red wine,Castello di Querceto,750,124,165.33,0.075606363,12.5,78188,NA,8,0,6,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=78188
Chablis Premier Cru Vaillon,Domaine Besson,Bourgogne,France,2015,White wine,Domaine Besson,750,239,318.67,0.039225531,12.5,71211,NA,7,6,0,0,1,https://www.systembolaget.se/sok-dryck/?searchquery=71211
Chablis,Domaine Besson,Bourgogne,France,2016,White wine,Domaine Besson,750,189,252,0.049603175,12.5,77572,NA,5,8,0,0,1,https://www.systembolaget.se/sok-dryck/?searchquery=77572
Chablis Grand Cru Vaudésir,Domaine Besson,Bourgogne,France,2014,White wine,Domaine Besson,750,450,600,0.020833333,12.5,71009,NA,9,9,0,0,1,https://www.systembolaget.se/sok-dryck/?searchquery=71009
Bourgogne Vieilles Vignes,Maison Roche de Bellene Pinot Noir,Bourgogne,France,2016,Red wine,Maison Roche de Bellene,750,199,265.33,0.04899559,13,75530,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=75530
Martin Codax,Albariño,Galicien,Spain,2016,White wine,Bodegas Martin Códax,750,139,185.33,0.067447256,12.5,70088,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=70088
Veneroso,Terre di Pisa,Toscana,Italy,2012,Red wine,Tenuta di Ghizzano,750,288,384,0.037760417,14.5,75541,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=75541
Frog's Leap,Chardonnay,Kalifornien,US,2014,White wine,Frog's Leap,750,269,358.67,0.037639055,13.5,72307,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=72307
Metis,Sauvignon Blanc,Western Cape,South Africa,2015,White wine,Klein Constantia,750,149,198.67,0.070468616,14,74242,NA,4,8,0,0,1,https://www.systembolaget.se/sok-dryck/?searchquery=74242
Nebbiolo,Corsini,Piemonte,Italy,2011,Red wine,Podere Ruggeri Corsini,750,187,249.33,0.058155858,14.5,73451,NA,8,7,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=73451
Trinity,Eh Areni Noir,NA,Armenia,2014,Red wine,Trinity LCC,750,269,358.67,0.039033094,14,71481,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=71481
Langhe,Bianco Corsini,Piemonte,Italy,2015,White wine,Podere Ruggeri Corsini,750,187,249.33,0.056150483,14,70775,NA,8,7,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=70775
Hugel,Estate Riesling,Alsace,France,2012,White wine,Hugel,750,259,345.33,0.03474937,12,70802,NA,7,7,0,0,1,https://www.systembolaget.se/sok-dryck/?searchquery=70802
Anciano,Gran Reserva Tempranillo,Kastilien-La Mancha,Spain,2007,Red wine,Bodegas Navalon,750,89,118.67,0.109547485,13,71300,NA,8,7,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=71300
Barolo Vale,Colle Belvedere,Piemonte,Italy,2012,Red wine,Agricola Colle Belvedere,750,634,845.33,0.017153064,14.5,74654,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=74654
Nebbiolo d'Alba,Colle Belvedere,Piemonte,Italy,2013,Red wine,Agricola Colle Belvedere,750,399,532,0.027255639,14.5,74252,NA,9,5,5,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=74252
Barbera d'Alba Marti,Colle Belvedere,Piemonte,Italy,2013,Red wine,Agricola Colle Belvedere,750,391,521.33,0.027813477,14.5,74732,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=74732
Barbera d'Alba Armujan,Podere Ruggeri Corsini,Piemonte,Italy,2011,Red wine,Podere Ruggeri Corsini,750,212,282.67,0.051296565,14.5,74214,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=74214
G Tocka,By Galic Cabernet Sauvignon Merlot,Kontinentalna,Croatia,2015,Red wine,Galic d.o.o,750,116,154.67,0.084049913,13,75355,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=75355
Galic,Bijelo 9,Kontinentalna,Croatia,2014,White wine,Galic d.o.o,750,254,338.67,0.038385449,13,75995,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=75995
Galic Grasevina,NA,Kontinentalna,Croatia,2015,White wine,Galic d.o.o,750,193,257.33,0.048575759,12.5,75956,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=75956
Galic,Pinot Noir,Kontinentalna,Croatia,2013,Red wine,Galic d.o.o,750,254,338.67,0.038385449,13,75557,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=75557
Galic,Chardonnay,Kontinentalna,Croatia,2014,White wine,Galic d.o.o,750,225,300,0.043333333,13,70558,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=70558
Corteforte Recioto,Della Valpolicella Classico Amandorlato,Venetien,Italy,2011,Red wine,Corteforte,500,400,800,0.018125,14.5,78001,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=78001
Galic,G Tocka,Kontinentalna,Croatia,2015,White wine,Galic d.o.o,750,116,154.67,0.080817224,12.5,71187,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=71187
King´s Bay,Sauvignon Blanc,Marlborough,New Zealand,2018,White wine,Icon Wines,750,109,145.33,0.086011147,12.5,73738,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=73738
Léon Barral,Blanc,NA,France,2015,White wine,Domaine Leon Barral,750,361,481.33,0.027008497,13,73002,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=73002
Domaine Léon Barral,Faugéres,Languedoc-Roussillon,France,2015,Red wine,Domaine Leon Barral,1500,598,398.67,0.035116763,14,75281,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=75281
Domaine Saint Nicolas,Reflets,Loiredalen,France,2016,Rosé wine,Domaine Saint Nicolas,750,219,292,0.044520548,13,72798,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=72798
Domaine Montirius,La Muse Papilles,Rhonedalen,France,2016,Rosé wine,Domaine Montirius,750,161,214.67,0.060558066,13,74233,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=74233
Medianiles,Tempranillo Roble Ecológico,Kastilien-La Mancha,Spain,2017,Red wine,El Progreso,3000,330,110,0.118181818,13,74232,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=74232
Mizzon,Amarone della Valpolicella Classico,Venetien,Italy,2009,Red wine,Azienda Agricola Mizzon di Perusi Nicola,750,499,665.33,0.02329671,15.5,75210,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=75210
Solaris Havn,NA,Skåne län,Sweden,2016,White wine,Vingården i Åhus,500,196,392,0.035714286,14,32935,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=32935
Bosman Vineyards,Upper Hemel en Aarde Valley Sauvignon Blanc,Western Cape,South Africa,2017,White wine,Bosman Adama t/a Bosman Family Vineyards,750,129,172,0.075581395,13,74518,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=74518
Bosman Vineyards,Pinotage,Western Cape,South Africa,2015,Red wine,Bosman Adama t/a Bosman Family Vineyards,750,229,305.33,0.045852029,14,74118,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=74118
Côtes du Rhône,Artesis,Rhonedalen,France,2016,Red wine,Ogier,750,139,185.33,0.078238817,14.5,70603,NA,7,6,7,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=70603
Abdyika,Estate Blend,NA,Bulgaria,2014,Red wine,Damiannitza AD,750,129,172,0.081395349,14,74402,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=74402
Åhus,Solaris EQ 2016,Skåne län,Sweden,2016,White wine,Vingården i Åhus,500,195,390,0.034615385,13.5,32959,NA,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=32959
