nr;Artikelid;Varnummer;Namn;Namn2;Prisinklmoms;Pant;Volymiml;PrisPerLiter;Saljstart;Utgått;Varugrupp;Typ;Stil;Forpackning;Forslutning;Ursprung;Ursprunglandnamn;Producent;Leverantor;Argang;Provadargang;Alkoholhalt;Sortiment;SortimentText;Ekologisk;Etiskt;EtisktEtikett;Koscher;RavarorBeskrivning
7141301;1001549;71413;Würzburger;Silvaner Trocken;185.00;;750.00;246.67;2015-10-01;0;Vitt vin;;;Flaska;;Franken;Tyskland;WG Bürgerspital;Sybaris - Wine & Spirits AB;2014;;11.50%;BS;Övrigt sortiment;0;0;;0;
3065503;1001670;30655;Fjäderholmarnas Monkey Business;American Pale Ale;25.90;;330.00;78.49;2015-10-01;0;Öl;Ale brittisk-amerikansk stil;Amerikansk pale ale (APA);Flaska;;Stockholms län;Sverige;Fjäderholmarnas Bryggeri;Fjäderholmarnas Bryggeri AB;;;5.20%;TSLS;Lokalt och småskaligt;0;0;;0;Kornmalt och humle.
836809;1001902;8368;Gran Barquero Pack;;199.00;;1125.00;176.89;2015-12-01;0;Aperitif och dessert;Sherry & Montilla;Montilla;3 flaskor à 375 ml;Skruvkapsyl;Andalusien;Spanien;Pérez Barquero;We & Wine AB;;;17.70%;BS;Övrigt sortiment;0;0;;0;Pedro ximenez.
3066503;1002004;30665;Klaura;;25.60;;330.00;77.58;2015-10-01;0;Öl;Mellanmörk lager;Märzen och wienerstil;Flaska;;Blekinge län;Sverige;Restaurang Skeppsgossen;Restaurang Skeppsgossen AB;;;5.10%;TSLS;Lokalt och småskaligt;0;0;;0;Karamellmalt samt humle av sorterna tomahawk och cascade.
3066603;1002055;30666;Pilimausan;;22.30;;330.00;67.58;2015-10-01;0;Öl;Ljus lager;Pilsner - tjeckisk stil;Flaska;;Blekinge län;Sverige;Restaurang Skeppsgossen;Restaurang Skeppsgossen AB;;;4.90%;TSLS;Lokalt och småskaligt;0;0;;0;Pilsnermalt samt humle av sorterna magnum och sladek.
3066703;1002137;30667;South Plains;Burning Witches Brew;21.80;;330.00;66.06;2015-10-01;0;Öl;Ale brittisk-amerikansk stil;Black IPA;Flaska;;Skåne län;Sverige;South Plains Brewing Company;South Plains Brewing Company;;;7.10%;TSLS;Lokalt och småskaligt;0;0;;0;Kornmalt samt humle av sorterna amarillo, simcoe och centennial.
8537504;1002815;85375;Tamdhu;Advance Sample 8 Years;434.00;;200.00;2170.00;2015-10-01;0;Whisky;Maltwhisky;;Flaska;;Skottland;Storbritannien;Hunter Laing & Company;Clydesdale AB;2006;;50.00%;BS;Övrigt sortiment;0;0;;0;
8609201;1002939;86092;Glen Keith;Refill Hogshead 18 Years;1290.00;;700.00;1842.86;2015-10-01;0;Whisky;Maltwhisky;;Flaska;;Skottland;Storbritannien;Hunter Laing & Company;Clydesdale AB;1997;;50.00%;BS;Övrigt sortiment;0;0;;0;
8491301;1002978;84913;Tormore;Sherry Butt 26 Years;1784.00;;700.00;2548.57;2015-10-01;0;Whisky;Maltwhisky;;Flaska;;Skottland;Storbritannien;Edition Spirits;Clydesdale AB;1988;;57.10%;BS;Övrigt sortiment;0;0;;0;
8733002;1003072;87330;Rhum Selection;Barbados;555.00;;500.00;1110.00;2015-10-01;0;Rom;Mörk rom;;Flaska;;;Barbados;Granqvist Beverage House AB;Granqvist Beverage House AB;;;45.00%;BS;Övrigt sortiment;0;0;;0;
8797202;1003078;87972;Rhum Selection;Guatemala;555.00;;500.00;1110.00;2015-10-01;0;Rom;Mörk rom;;Flaska;;;Guatemala;Granqvist Beverage House AB;Granqvist Beverage House AB;;;45.00%;BS;Övrigt sortiment;0;0;;0;
8767002;1003081;87670;Rhum Selection;Trinidad;555.00;;500.00;1110.00;2015-10-01;0;Rom;Mörk rom;;Flaska;;;Trinidad;Granqvist Beverage House AB;Granqvist Beverage House AB;;;45.00%;BS;Övrigt sortiment;0;0;;0;
8767202;1003084;87672;Rhum Selection;Paraguay;599.00;;500.00;1198.00;2015-10-01;0;Rom;Mörk rom;;Flaska;;;Paraguay;Granqvist Beverage House AB;Granqvist Beverage House AB;;;45.00%;BS;Övrigt sortiment;0;0;;0;
