"","Artikelid","Namn","Namn2","Prisinklmoms","Volymiml","PrisPerLiter","Varugrupp","Typ","Forpackning","Forslutning","Ursprung","Ursprunglandnamn","Producent","Argang","Alkoholhalt","Ekologisk","Etiskt","EtisktEtikett","Koscher","RavarorBeskrivning","APK"
"30",1007535,"Cigarra Gran Passo","Touriga Nacional Cabernet Sauvignon",89,750,118.67,"Rött vin","Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Lisboa","Portugal","Casa Santos Lima",2016,"14.00%",0,0,"",0,"Touriga nacional och cabernet sauvignon.",0.117974214207466
"31",1007578,"Sancerre Les Roches","Domaine Vacheron",229,750,305.33,"Vitt vin","Friskt & Fruktigt","Flaska","Naturkork","Loiredalen","Frankrike","Domaine Vacheron",2018,"14.00%",1,0,"",0,"Sauvignon blanc.",0.0458520289522811
"32",1007644,"Côtes Du Rhône Villages","Terre d'Argile",181,750,241.33,"Rött vin","","Flaska","Naturkork","Rhonedalen","Frankrike","Domaine de la Janasse",2014,"14.50%",0,0,"",0,"",0.0600837028135748
"33",1007844,"Poggio Scalette","Chianti Classico",210,750,280,"Rött vin","","Flaska","","Toscana","Italien","Podere Poggio Scalette",2013,"13.00%",0,0,"",0,"",0.0464285714285714
"34",1007847,"Canua","Sforzato Di Valtellina",428,750,570.67,"Rött vin","","Flaska","","Lombardiet","Italien","Conti Sertoli Salis",2009,"15.00%",0,0,"",0,"",0.0262848931957173
"35",1007984,"Domaine Bott-Geyl","Points Cardineaux Métiss",189,750,252,"Vitt vin","","Flaska","","Alsace","Frankrike","Domaine Bott-Geyl",2016,"12.50%",1,0,"",0,"",0.0496031746031746
"36",1007995,"Brimoncourt","Extra Brut",535,750,713.33,"Mousserande vin","Torrt vitt","Flaska","","Champagne","Frankrike","Brimoncourt",NA,"12.50%",0,0,"",0,"",0.0175234463712447
"37",1008004,"Medolago Albani","Valcalepio Rosso Cabernet Sauvignon Merlot",131,750,174.67,"Rött vin","","Flaska","Naturkork","Lombardiet","Italien","Medolago Albani",2014,"13.00%",0,0,"",0,"",0.0744260605713632
"38",1008017,"Frassinelli","Valdobbiadene Prosecco Superiore Millesimato",161,750,214.67,"Mousserande vin","Torrt vitt","Flaska","Naturkork","Venetien","Italien","Azienda Agricola Frassinelli",2014,"11.50%",0,0,"",0,"",0.0535705967298644
"39",1008061,"Castelmare","Amarone della Valpolicella Classico",179,750,238.67,"Rött vin","Kryddigt & Mustigt","Flaska","Natur","Venetien","Italien","Cantina Valpolicella Negrar",2016,"15.00%",0,0,"",0,"",0.0628482842418402
"40",1008083,"KooLooLoo","Cabernet Sauvignon Organic",239,750,318.67,"Rött vin","","Flaska","","Kalifornien","USA","KooLooLoo Vineyards",2009,"14.10%",1,0,"",0,"",0.0442463990962438
"41",1008113,"KooLooLoo","Old Vine Zinfandel Organic",239,750,318.67,"Rött vin","","Flaska","","Kalifornien","USA","KooLooLoo Vineyards",2008,"14.60%",1,0,"",0,"",0.0458154203407914
"42",1008166,"KooLooLoo","Chardonnay Organic",239,750,318.67,"Vitt vin","","Flaska","","Kalifornien","USA","KooLooLoo Vineyards",2012,"13.50%",1,0,"",0,"",0.0423635736027866
"43",1008210,"Revolution","Cabernet Sauvignon",294,750,392,"Rött vin","","Flaska","","Kalifornien","USA","Napa Wine Arts",2011,"14.20%",0,0,"",0,"",0.0362244897959184
"44",1008281,"Rumi","Napa Valley Red",365,750,486.67,"Rött vin","","Flaska","","Kalifornien","USA","RUMI Wine Company Napa",2010,"14.10%",0,0,"",0,"",0.0289724042986007
"45",1008421,"Avinyó","Blanc de Noirs Cava Brut Nature Reserva",195,750,260,"Mousserande vin","Torrt vitt","Flaska","","Cava","Spanien","Avinyó",NA,"11.50%",0,0,"",0,"",0.0442307692307692
"46",1008437,"Lavender Creek","",345,750,460,"Rött vin","","Flaska","","Kalifornien","USA","Napa Wine Arts",2012,"13.90%",0,0,"",0,"",0.0302173913043478
"47",1008467,"Lusthof","Pinotage",149,750,198.67,"Rött vin","","Flaska","","Western Cape","Sydafrika","Alexander Baron von Essen",2013,"14.00%",0,0,"",0,"",0.0704686162983843
"48",1008506,"Muratie","Ansela van de Caab",199,750,265.33,"Rött vin","","Flaska","","Western Cape","Sydafrika","Muratie",2012,"14.50%",0,0,"",0,"",0.0546489277503486
"49",1008535,"Domaine de Calet","Chardonnay",127,750,169.33,"Vitt vin","","Flaska","","Languedoc-Roussillon","Frankrike","Domaine de Calet",2013,"13.00%",1,0,"",0,"",0.0767731648260793
"50",1008900,"Preuss Wine Collection","Cabernet Sauvignon Merlot Melnik",115,750,153.33,"Rött vin","","Flaska","","Trakien","Bulgarien","Damiannitza AD",2015,"14.00%",0,0,"",0,"",0.091306332746364
"51",1008921,"Mizzon","Passito Bianco",299,500,598,"Vitt vin","Sött","Flaska","Naturkork","Venetien","Italien","Mizzon di Perusi Nicola",2012,"14.00%",0,0,"",0,"",0.0234113712374582
