"","Artikelid","Namn","Namn2","Prisinklmoms","Volymiml","PrisPerLiter","Varugrupp","Typ","Forpackning","Forslutning","Ursprung","Ursprunglandnamn","Producent","Argang","Alkoholhalt","Ekologisk","Etiskt","EtisktEtikett","Koscher","RavarorBeskrivning","APK"
"2682",14212270,"Majella","Cabernet Sauvignon",199,750,265.33,"Rött vin","Fruktigt & Smakrikt","Flaska","Skruvkapsyl","South Australia","Australien","Majella Wines Pty Ltd",2015,"14.00%",0,0,"",0,"Cabernet sauvignon.",0.0527644819658538
"2683",14214001,"Château Ponzac","Malbec",169,750,225.33,"Rött vin","Stramt & Nyanserat","Flaska","Naturkork","Frankrike sydväst","Frankrike","Château Ponzac",2016,"13.50%",0,0,"",0,"Malbec.",0.0599121288776461
"2684",14214020,"Palesa","Sauvignon Blanc",249,3000,83,"Vitt vin","Friskt & Fruktigt","Box","","Western Cape","Sydafrika","uniWines Marketing",2018,"12.50%",0,1,"Fairtrade",0,"Sauvignon blanc.",0.150602409638554
"2685",14214098,"Perdeberg","Rosé",219,3000,73,"Rosévin","Friskt & Bärigt","Box","","Western Cape","Sydafrika","Perdeberg Winery",2018,"13.00%",0,0,"",0,"90% chenin blanc och 10% shiraz.",0.178082191780822
"2686",14214208,"Hope","Chardonnay Reserve",149,1500,99.33,"Vitt vin","Friskt & Fruktigt","Box","Tappkran knapp","Western Cape","Sydafrika","Du Toitskloof Cellar",2018,"13.50%",0,1,"Fairtrade",0,"Chardonnay.",0.13591060102688
"2687",14221592,"Des Dames de France","Grand Cru Brut",368,750,490.67,"Mousserande vin","Torrt vitt","Flaska","","Champagne","Frankrike","Pierre Boever et Fils",NA,"12.00%",0,0,"",0,"",0.0244563555954104
"2688",14221665,"Madia","Montepulciano d'Abruzzo",79,750,105.33,"Rött vin","Fruktigt & Smakrikt","Flaska","","Abruzzerna","Italien","Torre Zambra S.R.L.",2017,"13.50%",0,0,"",0,"Montepulciano.",0.128168612930789
"2689",14221824,"Cantaburros","Roble",139,750,185.33,"Rött vin","Kryddigt & Mustigt","Flaska","","Kastilien-León","Spanien","S.A.T. San Pablo",2017,"13.50%",1,0,"",0,"Tempranillo.",0.0728430367452652
"2690",14222366,"Trapiche Vineyards","Sauvignon Blanc",79,750,105.33,"Vitt vin","","Flaska","","Cuyo","Argentina","Bodegas Trapiche",2018,"13.00%",0,0,"",0,"",0.123421627266686
"2691",14222367,"Trapiche","Estacion 1883 Bonarda",109,750,145.33,"Rött vin","","Flaska","","Cuyo","Argentina","Bodegas Trapiche",2017,"14.00%",0,0,"",0,"",0.0963324846900158
"2692",14222368,"Lindesberg & Nora tillsammans 750 År","",360,750,480,"Mousserande vin","Torrt vitt","Flaska","","Champagne","Frankrike","PRÉVOTEAU-PERRIER",NA,"12.00%",0,0,"",0,"",0.025
"2693",14222369,"Meursault Village","",639,750,852,"Vitt vin","","Flaska","","Bourgogne","Frankrike","Henri Boillot",2016,"13.00%",0,0,"",0,"",0.0152582159624413
"2694",14222371,"Barta Furmint","",278,750,370.67,"Vitt vin","","Flaska","Naturkork","Tokaj","Ungern","Mád Király Dülö Kft",2016,"12.50%",0,0,"",0,"",0.0337227183208784
"2695",14222373,"Volnay Village","",719,750,958.67,"Vitt vin","","Flaska","","Bourgogne","Frankrike","Domaine Henri Boillot",2016,"13.00%",0,0,"",0,"",0.0135604535450155
"2696",14222374,"Bolla Le Origini","Amarone Classico Riserva",389,750,518.67,"Rött vin","Kryddigt & Mustigt","Flaska","Naturkork","Venetien","Italien","Bolla",2012,"16.00%",0,0,"",0,"",0.0308481307960746
"2697",14222376,"Conti Ducco","Cuvée Dry",340,750,453.33,"Mousserande vin","Torrt vitt","Flaska","","Lombardiet","Italien","Conti Ducco",NA,"13.00%",0,0,"",0,"",0.0286766814461871
"2698",14222377,"Conti Ducco","Cuvée Extra Brut",340,750,453.33,"Mousserande vin","Torrt vitt","Flaska","","Lombardiet","Italien","Conti Ducco",NA,"13.00%",0,0,"",0,"",0.0286766814461871
"2699",14222378,"Conti Ducco","Satén Cuvée Brut",340,750,453.33,"Mousserande vin","Torrt vitt","Flaska","","Lombardiet","Italien","Conti Ducco",NA,"12.50%",0,0,"",0,"",0.0275737321597953
"2700",14222379,"Conti Ducco","Blanc de Blancs",391,750,521.33,"Mousserande vin","Torrt vitt","Flaska","","Lombardiet","Italien","Conti Ducco",2014,"12.50%",0,0,"",0,"",0.023977135403679
"2701",14222380,"Conti Ducco","Rosé",413,750,550.67,"Mousserande vin","Rosé","Flaska","","Lombardiet","Italien","Conti Ducco",2011,"12.50%",0,0,"",0,"",0.0226996204623459
"2702",14224419,"Gato Negro","Sauvignon Blanc",29,250,116,"Vitt vin","Friskt & Fruktigt","PET-flaska","Skruvkapsyl","Valle Central","Chile","Viña San Pedro",2018,"12.00%",0,0,"",0,"",0.103448275862069
"2703",14224441,"Gato Negro","Cabernet Sauvignon",29,250,116,"Rött vin","Fruktigt & Smakrikt","PET-flaska","Skruvkapsyl","Valle Central","Chile","Viña San Pedro",2018,"13.00%",0,0,"",0,"Cabernet sauvignon",0.112068965517241
"2704",14224478,"Lynx","Zinfandel Petite Sirah",269,3000,89.67,"Rött vin","","Box","Tappkran vinge","Kalifornien","USA","House of Big Wines",2017,"13.50%",0,0,"",0,"",0.150552024088324
"2705",14224481,"Le Miccine","Chianti Classico",252,750,336,"Rött vin","","Flaska","","Toscana","Italien","Le Miccine",2015,"14.00%",0,0,"",0,"",0.0416666666666667
"2706",14224486,"Henri Boillot","Bourgogne Pinot Noir",324,750,432,"Rött vin","","Flaska","","Bourgogne","Frankrike","Henri Boillot",2016,"13.00%",0,0,"",0,"",0.0300925925925926
"2707",14224491,"La Galoche","Beaujolais Gamay",169,750,225.33,"Rött vin","","Flaska","","Bourgogne","Frankrike","Domaine Saint-Cyr",2017,"12.50%",1,0,"",0,"",0.0554741934052279
"2708",14224495,"Vida","Kadarka",190,750,253.33,"Rött vin","","Flaska","Naturkork","","Ungern","Vida Családi Borbirtok",2016,"12.00%",0,0,"",0,"",0.0473690443295307
"2709",14224503,"Clos de Lolol","Francois Lurton",215,750,286.67,"Rött vin","","Flaska","Naturkork","Valle Central","Chile","Hacienda Araucano S.A",2013,"14.50%",1,0,"",0,"",0.0505808071999163
"2710",14224504,"Marani","Tvishi",186,750,248,"Vitt vin","Sött","Flaska","","Racha Region","Georgien","Telavi Wine Cellar",2016,"11.00%",0,0,"",0,"",0.0443548387096774
"2711",14276628,"Godeval Cepas Vellas","",149,750,198.67,"Vitt vin","Fylligt & Smakrikt","Flaska","Naturkork","Galicien","Spanien","Bodegas Godeval",2017,"13.50%",0,0,"",0,"Godello.",0.0679518800020134
"2712",14276635,"Bourgogne Chardonnay Vieilles Vignes","Domaine Pierre Labet",289,750,385.33,"Vitt vin","Fylligt & Smakrikt","Flaska","","Bourgogne","Frankrike","Domaine Pierre Labet",2016,"13.00%",0,0,"",0,"Chardonnay.",0.033737316066748
"2713",14276699,"Lallier","Millésime Grand Cru Brut",649,750,865.33,"Mousserande vin","Torrt vitt","Flaska","Champagnekork-natur","Champagne","Frankrike","Lallier",2008,"12.50%",0,0,"",0,"",0.0144453561069187
"2714",14276700,"Grand Housteau","Crémant de Bordeaux Brut",129,750,172,"Mousserande vin","Torrt vitt","Flaska","Champagnekork-natur","Bordeaux","Frankrike","Celene",NA,"11.00%",0,0,"",0,"",0.063953488372093
"2715",14276701,"Lallier","Nature Brut",399,750,532,"Mousserande vin","Torrt vitt","Flaska","Champagnekork-natur","Champagne","Frankrike","Lallier",NA,"12.50%",0,0,"",0,"",0.0234962406015038
"2716",14276702,"Lungarotti","Montefalco Sagrantino",295,750,393.33,"Rött vin","","Flaska","Naturkork","Umbrien","Italien","Lungarotti",2012,"14.50%",0,0,"",0,"",0.0368647191925355
"2717",14276703,"Colmant","Brut Reserve NV",219,750,292,"Mousserande vin","Torrt vitt","Flaska","Champagnekork-natur","Western Cape","Sydafrika","Colmant",NA,"12.00%",0,0,"",0,"",0.0410958904109589
"2718",14276706,"Lungarotti","Montefalco Rosso",169,750,225.33,"Rött vin","","Flaska","Naturkork","Umbrien","Italien","Lungarotti",2014,"14.00%",1,0,"",0,"",0.0621310966138552
"2719",14276707,"Leopard's Leap Culinaria Collection","Chenin Blanc",139,750,185.33,"Vitt vin","","Flaska","Naturkork","Western Cape","Sydafrika","Leopard's Leap Wines",2016,"13.50%",0,0,"",0,"",0.0728430367452652
"2720",14276708,"Leopard's Leap Culinaria Collection","Grand Vin",139,750,185.33,"Rött vin","","Flaska","Naturkork","Western Cape","Sydafrika","Leopard's Leap Wines",2017,"13.50%",0,0,"",0,"",0.0728430367452652
"2721",14276720,"La Galoche","Beaujolais",179,750,238.67,"Vitt vin","","Flaska","","Bourgogne","Frankrike","Domaine Saint-Cyr",2017,"13.00%",1,0,"",0,"",0.0544685130095948
"2722",1432,"Lindemans Bin 65","Chardonnay",79,750,105.33,"Vitt vin","Fylligt & Smakrikt","Flaska","Skruvkapsyl","South Eastern Australia","Australien","Lindemans",2018,"13.50%",0,0,"",0,"Chardonnay.",0.128168612930789
"2723",1433,"Lindemans Bin 65","Chardonnay",47,375,125.33,"Vitt vin","Fylligt & Smakrikt","Flaska","Skruvkapsyl","South Eastern Australia","Australien","Lindemans",2018,"13.50%",0,0,"",0,"Chardonnay.",0.10771563073486
"2724",14508232,"Myth Sparkling","",49,750,65.33,"Mousserande vin","","Flaska","Champagnekork-syntet","","EU","Providential Wines & Spirits AB",NA,"7.00%",0,0,"",0,"",0.107148323894076
"2725",14508660,"Bodega Lanzaga La Estrada","",589,750,785.33,"Rött vin","","Flaska","Naturkork","Rioja","Spanien","Telmo Rodriguez",2015,"14.50%",1,0,"",0,"",0.0184635758216291
"2726",14508674,"Bodega Lanzaga El Velado","",549,750,732,"Rött vin","","Flaska","Naturkork","Rioja","Spanien","Telmo Rodriguez",2015,"14.00%",1,0,"",0,"",0.0191256830601093
"2727",14508710,"Tococo","Syrah",299,750,398.67,"Rött vin","Kryddigt & Mustigt","Flaska","Naturkork","Coquimbo","Chile","Vinedos de Alcohuaz",2015,"13.50%",0,0,"",0,"Syrah.",0.0338625931221311
"2728",14508741,"Les Petites Cailles","Jean Luc Baldes-Clos Triguedina",299,750,398.67,"Rött vin","","Flaska","","Frankrike sydväst","Frankrike","Jean Luc Baldes-Clos Triguedina",2012,"13.50%",0,0,"",0,"Malbec.",0.0338625931221311
"2729",14508935,"Franciacorta Brut Rosé","La Fioca",279,750,372,"Mousserande vin","Rosé","Flaska","","Lombardiet","Italien","La Fioca",2011,"12.50%",1,0,"",0,"",0.0336021505376344
"2730",14508937,"Quinta do Mondego","Branco",169,750,225.33,"Vitt vin","","Flaska","","Dão","Portugal","Quinta do Mondego",2016,"13.00%",0,0,"",0,"",0.057693161141437
"2731",14508938,"Munda Encruzado","",239,750,318.67,"Vitt vin","","Flaska","","Dão","Portugal","Quinta do Mondego",2015,"13.50%",0,0,"",0,"",0.0423635736027866
"2732",14508939,"Le Ballon","Blanc",112,750,149.33,"Vitt vin","","Flaska","","Languedoc-Roussillon","Frankrike","Les Ballon",2017,"12.50%",0,0,"",0,"",0.0837072256077144
"2733",14508940,"Le Ballon","Rouge",112,750,149.33,"Rött vin","","Flaska","","Languedoc-Roussillon","Frankrike","Les Ballon",2016,"12.50%",0,0,"",0,"",0.0837072256077144
"2734",14508941,"Le Ballon","Rosé",112,750,149.33,"Rosévin","","Flaska","","Languedoc-Roussillon","Frankrike","Les Ballon",2017,"12.50%",0,0,"",0,"",0.0837072256077144
"2735",14508948,"Serenello","Prosecco Extra Dry",99,750,132,"Mousserande vin","Torrt vitt","Flaska","","Venetien","Italien","Vinicola Serena",NA,"11.00%",0,0,"",0,"",0.0833333333333333
"2736",14508949,"Buena Pinta","",169,750,225.33,"Rött vin","","Flaska","Naturkork","Kastilien-La Mancha","Spanien","Bodegas y Viñedos Ponce",2017,"12.00%",0,0,"",0,"",0.0532552256690188
"2737",14508956,"Rift 69","Beaujolais Villages",139,750,185.33,"Rött vin","","Flaska","","Bourgogne","Frankrike","Maison Jean Loron",2017,"13.00%",0,0,"",0,"",0.0701451464954406
"2738",14516835,"Vigna dell'Impero 1935","Tenuta Sette Ponti",549,750,732,"Rött vin","","Flaska","Naturkork","Toscana","Italien","Tenuta Sette Ponti",2013,"13.50%",0,0,"",0,"Sangiovese.",0.0184426229508197
"2739",14516861,"Château de Pez","",495,750,660,"Rött vin","","Flaska","Naturkork","Bordeaux","Frankrike","Château de Pez",2010,"14.00%",0,0,"",0,"",0.0212121212121212
"2740",14516862,"Edition Chremisa","Grüner Veltliner",189,750,252,"Vitt vin","","Flaska","","Niederösterreich","Österrike","Winzer Krems",2017,"13.50%",0,0,"",0,"",0.0535714285714286
"2741",14516864,"Sandrone","Barbera d'Alba",249,750,332,"Rött vin","","Flaska","","Piemonte","Italien","Luciano Sandrone",2016,"14.00%",0,0,"",0,"",0.0421686746987952
"2742",14516867,"Alain Bernard","Cuvée Pierre Robert Grand Cru Blanc de Noirs",575,750,766.67,"Mousserande vin","Torrt vitt","Flaska","","Champagne","Frankrike","Alain Bernard",2010,"12.50%",0,0,"",0,"",0.0163042769379264
"2743",14516868,"Hoya del Navio","",281,750,374.67,"Rött vin","","Flaska","","Kanarieöarna","Spanien","Finca La Hornaca",2013,"14.00%",0,0,"",0,"",0.037366215603064
"2744",14516869,"Hambledon","Classic Cuvée",429,750,572,"Mousserande vin","Torrt vitt","Flaska","Champagnekork-natur","England","Storbritannien","Hambledon",NA,"12.00%",0,0,"",0,"",0.020979020979021
"2745",14516870,"Hambledon","Classic Cuvée Rosé",459,750,612,"Rosévin","","Flaska","Champagnekork-natur","England","Storbritannien","Hambledon",NA,"12.00%",0,0,"",0,"",0.0196078431372549
"2746",14559117,"Ugo Lequio","Barbaresco Gallina",299,750,398.67,"Rött vin","Stramt & Nyanserat","Flaska","Naturkork","Piemonte","Italien","Ugo Lequio",2015,"14.50%",0,0,"",0,"Nebbiolo.",0.0363709333534001
"2747",14559254,"Selbach-Oster","Zeltinger Sonnenuhr Riesling Spätlese Feinherb Ur-Alte Reben",244,750,325.33,"Vitt vin","Friskt & Fruktigt","Flaska","","Mosel","Tyskland","Weingut Selbach-Oster",2016,"12.00%",0,0,"",0,"Riesling.",0.036885623828113
"2748",14559455,"Dönnhoff","Oberhäuser Brücke Spätlese",327,750,436,"Vitt vin","","Flaska","","Nahe","Tyskland","Weingut Hermann Dönnhoff",2017,"8.50%",0,0,"",0,"",0.0194954128440367
"2749",14559456,"Grimaldi","Dolcetto d'Alba",99,750,132,"Rött vin","Fruktigt & Smakrikt","Flaska","","Piemonte","Italien","Grimaldi Luigino e C. Snc.",2017,"13.50%",0,0,"",0,"Dolcetto.",0.102272727272727
"2750",14559466,"Campo dei Lecci","Bolgheri",399,750,532,"Rött vin","Stramt & Nyanserat","Flaska","Naturkork","Toscana","Italien","Società Agricola Tenuta Campo dei Lecci",2014,"14.00%",0,0,"",0,"65% cabernet sauvignon, 25% merlot och 10% cabernet franc.",0.0263157894736842
"2751",14559467,"Dönnhoff","Oberhäuser Brücke Auslese Goldkapsel",289,375,770.67,"Vitt vin","","Flaska","","Nahe","Tyskland","Weingut Hermann Dönnhoff",2017,"7.50%",0,0,"",0,"",0.00973179181750944
"2752",14559477,"Dönnhoff","Niederhäuser Hermannshöhle Riesling Auslese Goldkapsel",299,375,797.33,"Vitt vin","Sött","Flaska","","Nahe","Tyskland","Weingut Hermann Dönnhoff",2017,"8.20%",0,0,"",0,"",0.0102843239311201
"2753",14559482,"Selbach-Oster","Zeltinger Sonnenuhr Riesling Spätlese",229,750,305.33,"Vitt vin","","Flaska","","Mosel","Tyskland","Weingut Selbach-Oster",2017,"8.50%",0,0,"",0,"Riesling.",0.027838731863885
"2754",14559504,"Dönnhoff","Roxheimer Höllenpfad Riesling Trocken Erste Lage",265,750,353.33,"Vitt vin","","Flaska","","Nahe","Tyskland","Weingut Hermann Dönnhoff",2017,"12.50%",0,0,"",0,"Riesling.",0.0353776922423796
"2755",14559523,"Dönnhoff","Weissburgunder S",269,750,358.67,"Vitt vin","","Flaska","","Nahe","Tyskland","Weingut Hermann Dönnhoff",2017,"13.00%",0,0,"",0,"Weissburgunder (pinot blanc).",0.0362450163102573
"2756",14559538,"Selbach-Oster","Zeltinger Sonnenuhr Riesling Auslese***",545,750,726.67,"Vitt vin","","Flaska","","Mosel","Tyskland","Weingut Selbach-Oster",2017,"7.50%",0,0,"",0,"",0.0103210535731487
"2757",14561017,"Château Bélair-Monange","",999,750,1332,"Rött vin","","Flaska","Naturkork","Bordeaux","Frankrike","Château Belair-Monange",2000,"12.50%",0,0,"",0,"Merlot och cabernet franc.",0.00938438438438438
"2758",14561092,"Cecchi","Vernaccia di San Gimignano",99,750,132,"Vitt vin","Friskt & Fruktigt","Flaska","Naturkork","Toscana","Italien","Cecchi",2017,"12.50%",0,0,"",0,"Vernaccia.",0.0946969696969697
"2759",14561205,"Chignin","Les 1er récoltants",229,750,305.33,"Vitt vin","Fylligt & Smakrikt","Flaska","","Savoie","Frankrike","Claude Quenard & Fils",2015,"11.50%",1,0,"",0,"",0.0376641666393738
"2760",14579282,"Graacher Himmelreich","Riesling Auslese",399,750,532,"Vitt vin","","Flaska","Naturkork","Mosel","Tyskland","Joh Jos Prüm",2009,"8.00%",0,0,"",0,"",0.0150375939849624
"2761",14579293,"Sopron","Kékfrankos és Syrah",99,750,132,"Rött vin","Fruktigt & Smakrikt","Flaska","","North Transdanubia","Ungern","Weingut Weninger",2018,"13.50%",1,0,"",0,"Kékfrankos och syrah.",0.102272727272727
"2762",14579311,"Giacomo","A Mio Padre",349,750,465.33,"Rött vin","Kryddigt & Mustigt","Flaska","","Toscana","Italien","La Villa di Ilaria",2015,"14.50%",0,0,"",0,"Merlot.",0.0311606816667741
"2763",14601508,"Adobe","Reserva Malbec",79,750,105.33,"Rött vin","Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Valle Central","Chile","Viñedos Emiliana",2017,"13.50%",1,0,"",0,"Malbec.",0.128168612930789
"2764",14601575,"Ca' del Bosco","Annamaria Clementi",849,750,1132,"Mousserande vin","Torrt vitt","Flaska","Champagnekork-natur","Lombardiet","Italien","Ca' del Bosco",2008,"12.50%",0,0,"",0,"55% chardonnay, 25% pinot bianco och 20% pinot nero.",0.0110424028268551
"2765",14601627,"Pietro dal Cero","Amarone della Valpolicella",349,375,930.67,"Rött vin","Kryddigt & Mustigt","Flaska","","Venetien","Italien","Azienda Agricola Ca dei Frati",2008,"17.00%",0,0,"",0,"Corvina, corvinone, rondinella och croatina.",0.0182664102205938
"2766",14601694,"Arnot-Roberts","El Dorado Gamay Noir",393,750,524,"Rött vin","Mjukt & Bärigt","Flaska","","Kalifornien","USA","Arnot Roberts",2017,"12.50%",0,0,"",0,"Gamay.",0.0238549618320611
"2767",14601710,"RHU","Mezcla Tinta",349,750,465.33,"Rött vin","Kryddigt & Mustigt","Flaska","Naturkork","Coquimbo","Chile","Vinedos de Alcohuaz",2013,"13.50%",0,0,"",0,"64% syrah, 20% garnacha och 16% petit syrah.",0.0290116691380311
"2768",14601733,"Selbach-Oster","Zeltinger Schlossberg Riesling Auslese Schmitt",390,750,520,"Vitt vin","","Flaska","","Mosel","Tyskland","Weingut Selbach-Oster",2017,"7.00%",0,0,"",0,"Riesling.",0.0134615384615385
"2769",14607922,"Paco & Lola","Albariño",139,750,185.33,"Vitt vin","","Flaska","Skruvkapsyl","Galicien","Spanien","Arousana",2017,"13.00%",0,0,"",0,"",0.0701451464954406
"2770",14607923,"Pago Casa Gran","Falcata Syrah Monastrell Rosé",139,750,185.33,"Rosévin","","Flaska","Skruvkapsyl","","Spanien","Pago Casa Gran",2018,"12.00%",1,0,"",0,"",0.0647493659957913
"2771",14607924,"Pfaff","Steinert Grand Cru Riesling",239,750,318.67,"Vitt vin","","Flaska","Naturkork","Alsace","Frankrike","La Cave des Vignerons de Pfaffenheim",2016,"12.50%",0,0,"",0,"",0.0392255311136913
"2772",14607925,"Pfaff","Special",149,750,198.67,"Vitt vin","","Flaska","Skruvkapsyl","Alsace","Frankrike","La Cave des Vignerons de Pfaffenheim",2016,"12.50%",0,0,"",0,"",0.0629184074092717
"2773",14607926,"Pfaff","Black Tie Riesling Pinot Gris",175,750,233.33,"Vitt vin","","Flaska","Skruvkapsyl","Alsace","Frankrike","La Cave des Vignerons de Pfaffenheim",2017,"13.00%",0,0,"",0,"",0.0557150816440235
"2774",14607927,"Pfaff","Tradition Pinot Gris",175,750,233.33,"Vitt vin","","Flaska","Skruvkapsyl","Alsace","Frankrike","La Cave des Vignerons de Pfaffenheim",2018,"13.00%",0,0,"",0,"",0.0557150816440235
"2775",14607928,"Pfaff","Cuvée Jupiter Riesling",175,750,233.33,"Vitt vin","","Flaska","Skruvkapsyl","Alsace","Frankrike","La Cave des Vignerons de Pfaffenheim",2016,"12.50%",0,0,"",0,"",0.0535721938884841
"2776",14607930,"Villa Russiz","Pinot Bianco",200,750,266.67,"Vitt vin","","Flaska","Naturkork","Friuli-Venezia-Giulia","Italien","Fondazione Villa Russiz",2016,"13.50%",0,0,"",0,"",0.0506243671954101
"2777",14607931,"Villa Russiz","Friulano",200,750,266.67,"Vitt vin","","Flaska","Naturkork","Friuli-Venezia-Giulia","Italien","Fondazione Villa Russiz",2016,"13.50%",0,0,"",0,"",0.0506243671954101
"2778",14607932,"Villa Russiz","Les Enfants",171,750,228,"Vitt vin","","Flaska","Naturkork","Friuli-Venezia-Giulia","Italien","Fondazione Villa Russiz",NA,"13.50%",0,0,"",0,"",0.0592105263157895
"2779",14618548,"El Pedrosal","Crianza",169,750,225.33,"Rött vin","","Flaska","Naturkork","Kastilien-León","Spanien","Bodegas Hnos Pérez Pascuas",2016,"14.00%",0,0,"",0,"",0.0621310966138552
"2780",14618549,"Tilenus","Envejecido en Roble",155,750,206.67,"Rött vin","","Flaska","Naturkork","Kastilien-León","Spanien","Bodegas Estefania S.L.",2015,"14.00%",0,0,"",0,"",0.0677408428896308
"2781",14618550,"Aria di Caiarossa","",340,750,453.33,"Rött vin","","Flaska","Naturkork","Toscana","Italien","Caiarossa",2013,"13.50%",1,0,"",0,"",0.0297796307325789
"2782",14618551,"Casanova Chianti Riserva","La Spinetta",269,750,358.67,"Rött vin","","Flaska","","Toscana","Italien","La Spinetta",2013,"14.00%",0,0,"",0,"",0.0390330944879694
"2783",14618552,"Marko","Gure Arbasoak",219,750,292,"Vitt vin","","Flaska","Naturkork","Baskien","Spanien","Oxer Wines",2016,"14.00%",0,0,"",0,"",0.0479452054794521
"2784",14618554,"Embasties","Chardonnay",139,750,185.33,"Vitt vin","","Flaska","","Languedoc-Roussillon","Frankrike","Cellier Jean d'Alibert",2015,"13.00%",0,0,"",0,"",0.0701451464954406
"2785",14618555,"Toscana Vermentino","Casanova della Spinetta",199,750,265.33,"Vitt vin","","Flaska","","Toscana","Italien","La Spinetta",2018,"13.00%",0,0,"",0,"",0.0489955903968643
"2786",14618556,"Pradalupo","Roero Arneis",149,750,198.67,"Vitt vin","","Flaska","","Piemonte","Italien","Fontanafredda",2017,"13.50%",0,0,"",0,"",0.0679518800020134
"2787",14618557,"Sonoma Hills","Russian River Pinot Noir",119,750,158.67,"Rött vin","Kryddigt & Mustigt","Flaska","Skruvkapsyl","Kalifornien","USA","Sonoma Vineyards",2015,"14.50%",0,0,"",0,"Pinot noir.",0.0913846347765803
"2788",14618558,"Raimonda","Barbera d'Alba",149,750,198.67,"Rött vin","","Flaska","","Piemonte","Italien","Fontanafredda",2016,"13.50%",0,0,"",0,"",0.0679518800020134
"2789",14618560,"Tilenus","La Florida Crianza",165,750,220,"Rött vin","","Flaska","Naturkork","Kastilien-León","Spanien","Bodegas Estefania S.L.",2011,"14.00%",0,0,"",0,"",0.0636363636363636
"2790",14618561,"Tilenus","Godello",175,750,233.33,"Vitt vin","","Flaska","Naturkork","Kastilien-León","Spanien","Bodegas Estefania S.L.",2015,"13.50%",0,0,"",0,"",0.0578579693995629
"2791",14618562,"Essentia Loci","Primitivo di Manduria",259,750,345.33,"Rött vin","","Flaska","Naturkork","Apulien","Italien","Ognissole",2015,"15.50%",0,0,"",0,"",0.0448846031332349
"2792",14618933,"Driefontein","Syrah",199,750,265.33,"Rött vin","Kryddigt & Mustigt","Flaska","","Western Cape","Sydafrika","Longridge Winery",2015,"14.00%",1,0,"",0,"Syrah.",0.0527644819658538
"2793",14622187,"Romanico","Castel Del Monte Nero di Troia",199,750,265.33,"Rött vin","","Flaska","Naturkork","Apulien","Italien","Ognissole",2015,"13.00%",1,0,"",0,"",0.0489955903968643
"2794",14622415,"L'Affût","Adam-Mereaux Brut",340,750,453.33,"Mousserande vin","Torrt vitt","Flaska","","Champagne","Frankrike","SARL Adam et Méreaux",NA,"12.00%",0,0,"",0,"Chardonnay.",0.0264707828734035
"2795",14653538,"Teodosio","Aglianico del Vulture",185,750,246.67,"Rött vin","","Flaska","Naturkork","Basilicata","Italien","Basilisco Societa Agricola Srl",2014,"14.50%",0,0,"",0,"",0.0587829894190619
"2796",14653539,"Mouton Cadet","Réserve Graves Blanc",159,750,212,"Vitt vin","","Flaska","Naturkork","Bordeaux","Frankrike","Baron Philippe de Rothschild",2016,"12.50%",0,0,"",0,"",0.0589622641509434
"2797",14653540,"Seven Springs","La Source Pinot Noir",699,750,932,"Rött vin","","Flaska","Naturkork","Oregon","USA","Evening Land Vineyards",2014,"13.00%",0,0,"",0,"",0.0139484978540773
"2798",14653541,"Brecciato","Castel Del Monte Rosso",159,750,212,"Rött vin","","Flaska","Naturkork","Apulien","Italien","Ognissole",2015,"13.00%",1,0,"",0,"",0.0613207547169811
"2799",14653675,"Clos Le Grand Beaupréau","Domaine de la Bergerie",289,750,385.33,"Vitt vin","","Flaska","","Loiredalen","Frankrike","Domaine de la Bergerie",2015,"14.00%",0,0,"",0,"Chenin blanc.",0.0363324942257286
"2800",14653720,"Rosso di Montalcino","",189,750,252,"Rött vin","","Flaska","Naturkork","Toscana","Italien","Castiglion del Bosco",2015,"14.00%",0,0,"",0,"",0.0555555555555556
"2801",14653724,"Gosset","Grand Blanc de Noir Extra Brut",749,750,998.67,"Mousserande vin","Torrt vitt","Flaska","Champagnekork-natur","Champagne","Frankrike","Gosset",NA,"12.00%",0,0,"",0,"",0.0120159812550692
"2802",14653725,"Rings","Spätburgunder Freinsheim",219,750,292,"Rött vin","","Flaska","Naturkork","Pfalz","Tyskland","Weingut Rings",2015,"13.00%",0,0,"",0,"",0.0445205479452055
"2803",14653726,"Felino","Chardonnay",149,750,198.67,"Vitt vin","","Flaska","","Cuyo","Argentina","Viña Cobos",2015,"14.50%",0,0,"",0,"",0.0729853525947551
"2804",14653727,"Rocca dei Forti","Spumante Brut",125,750,166.67,"Mousserande vin","Torrt vitt","Flaska","Champagnekork-natur","","Italien","Togni Spa",NA,"11.50%",0,0,"",0,"",0.0689986200275994
"2805",14653728,"Bulles de Lisennes","Crémant de Bordeaux Rosé Brut",148,750,197.33,"Mousserande vin","Rosé","Flaska","","Bordeaux","Frankrike","Château de Lisennes",NA,"12.00%",0,0,"",0,"",0.0608118380378047
"2806",14653729,"Barott Brut Rosato","Cagliero",189,750,252,"Mousserande vin","Rosé","Flaska","","","Italien","Cagliero",2017,"12.50%",0,0,"",0,"",0.0496031746031746
"2807",14663,"Paul Jaboulet Parallèle 45","Côtes du Rhône",109,750,145.33,"Rött vin","Kryddigt & Mustigt","Flaska","Naturkork","Rhonedalen","Frankrike","Paul Jaboulet Ainé",2016,"14.00%",1,0,"",0,"Grenache och syrah.",0.0963324846900158
