product_name,taste_body,taste_freshness,taste_tanins,taste_bitternes,taste_sweetnes,alchohol
Zaccagnini Montepulciano d´Abruzzo Riserva 2013,9,8,7,0,0,13.5
Innocent Bystander Victoria Moscato 2018,5,9,0,0,9,5.5
Speri Valpolicella Classico Superiore Ripasso 2016,9,8,5,0,0,13.5
Delorme Terroir d?Exception Cremant de Bourgogne Brut,8,10,0,0,1,12
Delorme Terroir d?Exception Cremant de Bourgogne Brut,8,10,0,0,1,12
Delorme Bobler Søtt+Salt Cremant de Bourgogne Blanc de blancs Brut,6,10,0,0,1,12
Delorme Bobler Søtt+Salt Cremant de Bourgogne Blanc de blancs Brut,4,6,0,0,1,12
Ch. Bonnet Resérve 2014,9,8,8,0,0,13
Colli Vicentini Torre dei Vescovi Prosecco Extra Dry,8,8,0,0,2,11.5
Pecchenino San Giuseppe Barolo 2012,9,8,8,0,0,14
Les Dauphin Côtes du Rhône Reserve 2017,7,6,5,0,0,13.5
Elvis The King of Rock'n'Roll Cabernet Sauvignon 2016,8,6,4,0,0,13
Noble Vines 446 Chardonnay Single Vineyard 2017,7,7,0,0,2,14.5
Marcel Pierre Champagne Brut,6,9,0,0,1,12
Piccini Rosso di Toscana,7,7,6,0,0,13
Piccini Rosso di Toscana,7,7,6,0,0,13
Bottega Petalo Il Vino dell'Amore Moscato,4,6,0,0,7,6.5
Bottega Petalo Il Vino dell'Amore Moscato,4,6,0,0,7,6.5
La Spinona Barolo Sori Gepin 2009,9,6,8,0,0,14
Marziano Abbona Cinerino 2016,8,7,0,0,2,14
Allegrini Belpasso Rosso 2016,8,7,7,0,0,13.5
Prüm Solitär Riesling Trocken 2017,5,5,0,0,2,11.5
Villa Trasqua Trasquanello Rosato 2016,3,3,0,0,3,12.5
Badia di Morrona Vigna Alta 2011,9,9,8,0,0,14
Ruffino Chianti Superiore 2011,7,8,6,0,0,13.5
Bindella Vino Nobile di Montepulciano 2014,8,8,7,0,0,13
Fairview Vintage Reserve 2011,6,5,5,0,0,14
André Jacquart Experience Premier Cru Blanc de Blancs Brut,6,8,0,0,1,12
Matthieu Barret Petit Ours Brun 2017,7,7,7,0,0,13.5
Matthieu Barret Petit Ours Brun 2017,7,7,7,0,0,13.5
André Jacquart Experience Mesnil Grand Cru Blanc de Blancs Brut,8,8,0,0,1,12
André & Mireille Tissot Vin Jaune La Vasée 2012,10,10,0,0,1,16
Cantine Volpi Costa al Sole Nero D'Avola 2013,4,4,5,0,0,13
Cantine Volpi Costa al Sole Inzolia 2016,4,4,0,0,3,12
Joseph Drouhin Santenay 2014,8,9,8,0,0,13
Marqués de Cáceres Crianza 2015,8,8,7,0,0,14
Marqués de Cáceres Crianza 2015,7,8,7,0,0,14
Marqués de Cáceres Crianza 2014,7,8,8,0,0,13.5
Cantalupo Ghemme Anno Primo 2009,8,6,8,0,0,13.5
Faustino VII 2017,7,8,7,0,0,13
Faustino VII 2016,7,6,6,0,0,13
Sainte Croix Pourboire Nature 2018,6,8,6,0,0,13
Von Winning Kalkofen Riesling Trocken GG 2017,8,8,0,0,2,13
Albino Armani Prosecco,5,8,0,0,3,11
Tenuta Sette Ponti Toscana 2016,9,8,5,0,0,13.5
Canard-Duchêne Grande Cuvée Charles VII Blanc de Blancs Brut,8,8,0,0,2,12
Canard-Duchêne Authentic Vintage Brut 2008,8,7,0,0,2,12
Canard-Duchêne Cuvée Léonie Green,6,7,0,0,2,12
Canard-Duchêne Cuvée Léonie Brut,7,7,0,0,2,12
Canard-Duchêne Cuvée Léonie Brut,7,7,0,0,2,12
Johannishof Mineral Riesling Trocken 2015,6,10,0,0,2,11
Johannisberg S Riesling Kabinett Feinherb 2017,9,10,0,0,3,10.5
Johannisberger Hölle Riesling Kabinett Trocken 2014,9,10,0,0,2,11
Skjelbreid Poirée Emeraude 2014,10,7,7,0,0,13.5
Skjelbreid Poirée Diamant Noir 2014,10,7,7,0,0,14
Dom. du Chardonnay Petit Chablis 2017,5,8,0,0,1,12
Dom. du Chardonnay Chablis 2017,7,7,0,0,2,12.5
Palagio When we dance Chianti 2017,7,6,5,0,0,13
Palagio Casino delle vie Toscana 2015,7,7,5,0,0,13
Coessens Largillier Blanc de Noirs Brut 2013,6,9,0,0,2,12
Benjamin Leroux Bourgogne Blanc 2017,7,7,0,0,1,13
Bottega Pret a Porter Amarone Valpolicella Classico Riserva 2012,8,7,6,0,0,15.5
Blason d'Issan 2012,9,9,9,0,0,13
Jacob's Creek Shiraz Cabernet 2018,8,8,7,0,0,13.9
Jacob's Creek Shiraz Cabernet 2017,8,7,7,0,0,13.9
Le Ragose Amarone Marta Galli 2006,11,12,11,0,0,14
Ch. La Croix Saint Estéphe 2011,10,8,9,0,0,13
Joseph Drouhin Laforêt Bourgogne Chardonnay 2016,7,8,0,0,1,13
Joseph Drouhin Laforêt Bourgogne Chardonnay 2017,7,9,0,0,2,13
Ravenswood Icon 2013,10,5,10,0,0,15
Ravenswood Old Hill Zinfandel 2013,10,3,9,0,0,14
Kloster Eberbach Marcobrunn Riesling Auslese 2010,6,7,0,0,7,9.5
Kloster Eberbach Steinberger Riesling Kabinett 2017,4,6,0,0,5,8
Ch. Grand-Puy-Lacoste 2008,9,4,7,0,0,13.5
Boffa Barbaresco 2013,8,8,8,0,0,13.5
Felton Road Calvert Pinot Noir 2017,8,9,8,0,0,14
Ioppa Ghemme 2008,8,8,8,0,0,14
Ch. Capbern Gasqueton 2006,10,6,8,0,0,13
Antica Distilleria Quaglia Maliarda,4,6,0,0,7,18
Flor de Pingus 2016,11,6,9,0,0,15
Domino de Pingus Psi 2016,7,7,7,0,0,14
Heinrich Blaufränkisch 2016,7,7,7,0,0,12.5
Coates & Seely Rosé,7,8,0,0,1,12
Andrea Oberto Barolo 2013,8,7,5,0,0,14.5
Andrea Oberto Barbera d'Alba 2015,7,8,4,0,0,15
Von Buhl Forster Ungeheuer Riesling GL 2016,9,9,0,0,1,13
Dom. Huet Vouvray Pétillant Brut 2012,7,8,0,0,2,12.5
Gramona Imperial Gran Reserva Brut 2013,7,7,0,0,2,12
Tenuta di Castellaro Nero Ossidiana 2013,8,8,7,0,0,13.5
Tenuta di Castellaro Bianco Pomice 2013,8,8,0,0,1,12.5
Montecillo Crianza 2015,7,8,8,0,0,13.5
Montecillo Crianza 2013,5,6,10,0,0,13.5
